Source : Al2O3_xin_0411.dsp
Spectrum : 1

Wavelength	n	k

250.00	1.651304	0.000000
255.00	1.644764	0.000000
260.00	1.638812	0.000000
265.00	1.633376	0.000000
270.00	1.628394	0.000000
275.00	1.623815	0.000000
280.00	1.619595	0.000000
285.00	1.615694	0.000000
290.00	1.612080	0.000000
295.00	1.608723	0.000000
300.00	1.605599	0.000000
305.00	1.602684	0.000000
310.00	1.599960	0.000000
315.00	1.597409	0.000000
320.00	1.595015	0.000000
325.00	1.592766	0.000000
330.00	1.590649	0.000000
335.00	1.588653	0.000000
340.00	1.586769	0.000000
345.00	1.584987	0.000000
350.00	1.583301	0.000000
355.00	1.581702	0.000000
360.00	1.580185	0.000000
365.00	1.578743	0.000000
370.00	1.577372	0.000000
375.00	1.576066	0.000000
380.00	1.574821	0.000000
385.00	1.573633	0.000000
390.00	1.572499	0.000000
395.00	1.571414	0.000000
400.00	1.570376	0.000000
405.00	1.569382	0.000000
410.00	1.568430	0.000000
415.00	1.567516	0.000000
420.00	1.566639	0.000000
425.00	1.565796	0.000000
430.00	1.564986	0.000000
435.00	1.564207	0.000000
440.00	1.563457	0.000000
445.00	1.562734	0.000000
450.00	1.562038	0.000000
455.00	1.561366	0.000000
460.00	1.560718	0.000000
465.00	1.560092	0.000000
470.00	1.559488	0.000000
475.00	1.558903	0.000000
480.00	1.558338	0.000000
485.00	1.557791	0.000000
490.00	1.557262	0.000000
495.00	1.556749	0.000000
500.00	1.556252	0.000000
505.00	1.555770	0.000000
510.00	1.555303	0.000000
515.00	1.554850	0.000000
520.00	1.554410	0.000000
525.00	1.553983	0.000000
530.00	1.553568	0.000000
535.00	1.553165	0.000000
540.00	1.552773	0.000000
545.00	1.552391	0.000000
550.00	1.552020	0.000000
555.00	1.551659	0.000000
560.00	1.551308	0.000000
565.00	1.550965	0.000000
570.00	1.550632	0.000000
575.00	1.550307	0.000000
580.00	1.549990	0.000000
585.00	1.549682	0.000000
590.00	1.549380	0.000000
595.00	1.549087	0.000000
600.00	1.548800	0.000000
605.00	1.548520	0.000000
610.00	1.548246	0.000000
615.00	1.547979	0.000000
620.00	1.547718	0.000000
625.00	1.547464	0.000000
630.00	1.547214	0.000000
635.00	1.546971	0.000000
640.00	1.546733	0.000000
645.00	1.546500	0.000000
650.00	1.546272	0.000000
655.00	1.546048	0.000000
660.00	1.545830	0.000000
665.00	1.545616	0.000000
670.00	1.545407	0.000000
675.00	1.545202	0.000000
680.00	1.545001	0.000000
685.00	1.544804	0.000000
690.00	1.544611	0.000000
695.00	1.544422	0.000000
700.00	1.544237	0.000000
705.00	1.544055	0.000000
710.00	1.543877	0.000000
715.00	1.543702	0.000000
720.00	1.543531	0.000000
725.00	1.543362	0.000000
730.00	1.543197	0.000000
735.00	1.543035	0.000000
740.00	1.542876	0.000000
745.00	1.542720	0.000000
750.00	1.542566	0.000000
755.00	1.542415	0.000000
760.00	1.542267	0.000000
765.00	1.542122	0.000000
770.00	1.541979	0.000000
775.00	1.541838	0.000000
780.00	1.541700	0.000000
785.00	1.541564	0.000000
790.00	1.541431	0.000000
795.00	1.541300	0.000000
800.00	1.541170	0.000000
805.00	1.541043	0.000000
810.00	1.540919	0.000000
815.00	1.540796	0.000000
820.00	1.540675	0.000000
825.00	1.540556	0.000000
830.00	1.540439	0.000000
835.00	1.540323	0.000000
840.00	1.540210	0.000000
845.00	1.540098	0.000000
850.00	1.539988	0.000000

