WL (nm)	n	k
387.48	1.509149	0.001295
392.48	1.508462	0.001275
397.48	1.507803	0.001255
402.48	1.507169	0.001236
407.48	1.506560	0.001218
412.48	1.505975	0.001201
417.48	1.505412	0.001183
422.48	1.504870	0.001167
427.48	1.504348	0.001151
432.48	1.503845	0.001135
437.48	1.503360	0.001120
442.48	1.502893	0.001105
447.48	1.502442	0.001091
452.48	1.502006	0.001077
457.48	1.501586	0.001063
462.48	1.501180	0.001050
467.48	1.500787	0.001037
472.48	1.500407	0.001024
477.48	1.500040	0.001012
482.48	1.499685	0.001000
487.48	1.499341	0.000989
492.48	1.499008	0.000977
497.48	1.498685	0.000966
502.48	1.498373	0.000955
507.48	1.498070	0.000945
512.48	1.497776	0.000934
517.48	1.497491	0.000924
522.48	1.497214	0.000914
527.48	1.496946	0.000905
532.48	1.496685	0.000895
537.48	1.496432	0.000886
542.48	1.496186	0.000877
547.48	1.495947	0.000868
552.48	1.495715	0.000859
557.48	1.495489	0.000851
562.48	1.495270	0.000842
567.48	1.495056	0.000834
572.48	1.494848	0.000826
577.48	1.494646	0.000818
582.48	1.494449	0.000811
587.48	1.494257	0.000803
592.48	1.494070	0.000796
597.48	1.493888	0.000788
602.48	1.493711	0.000781
607.48	1.493538	0.000774
612.48	1.493369	0.000767
617.48	1.493205	0.000761
622.48	1.493045	0.000754
627.48	1.492888	0.000748
632.48	1.492736	0.000741
637.48	1.492587	0.000735
642.48	1.492441	0.000729
647.48	1.492300	0.000723
652.48	1.492161	0.000717
657.48	1.492025	0.000711
662.48	1.491893	0.000705
667.48	1.491764	0.000700
672.48	1.491638	0.000694
677.48	1.491514	0.000688
682.48	1.491394	0.000683
687.48	1.491276	0.000678
692.48	1.491160	0.000673
697.48	1.491048	0.000667
702.48	1.490937	0.000662
707.48	1.490829	0.000657
712.48	1.490724	0.000652
717.48	1.490620	0.000648
722.48	1.490519	0.000643
727.48	1.490420	0.000638
732.48	1.490323	0.000634
737.48	1.490227	0.000629
742.48	1.490134	0.000625
747.48	1.490043	0.000620
752.48	1.489954	0.000616
757.48	1.489866	0.000611
762.48	1.489780	0.000607
767.48	1.489696	0.000603
772.48	1.489614	0.000599
777.48	1.489533	0.000595
782.48	1.489454	0.000591
787.48	1.489376	0.000587
792.48	1.489300	0.000583
797.48	1.489225	0.000579
802.48	1.489151	0.000575
807.48	1.489079	0.000572
812.48	1.489009	0.000568
817.48	1.488939	0.000564
822.48	1.488871	0.000561
827.48	1.488804	0.000557
832.48	1.488739	0.000554
837.48	1.488675	0.000550
842.48	1.488611	0.000547
847.48	1.488549	0.000544
852.48	1.488488	0.000540
857.48	1.488428	0.000537
862.48	1.488369	0.000534
867.48	1.488311	0.000530
872.48	1.488255	0.000527
877.48	1.488199	0.000524
882.48	1.488144	0.000521
887.48	1.488090	0.000518
892.48	1.488037	0.000515
897.48	1.487985	0.000512
902.48	1.487933	0.000509
907.48	1.487883	0.000506
912.48	1.487833	0.000503
917.48	1.487785	0.000500
922.48	1.487737	0.000498
927.48	1.487689	0.000495
932.48	1.487643	0.000492
937.48	1.487597	0.000489
942.48	1.487552	0.000487
947.48	1.487508	0.000484
952.48	1.487465	0.000481
957.48	1.487422	0.000479
962.48	1.487380	0.000476
967.48	1.487338	0.000474
972.48	1.487297	0.000471
977.48	1.487257	0.000469
982.48	1.487218	0.000466
987.48	1.487179	0.000464
992.48	1.487140	0.000461
997.48	1.487102	0.000459
1002.48	1.487065	0.000457
1007.48	1.487029	0.000454
1012.48	1.486992	0.000452
1017.48	1.486957	0.000450
1022.48	1.486922	0.000447
1027.48	1.486887	0.000445
1032.48	1.486853	0.000443
1037.48	1.486820	0.000441
1042.48	1.486786	0.000439
1047.48	1.486754	0.000436
1052.48	1.486722	0.000434
1057.48	1.486690	0.000432
1062.48	1.486659	0.000430
1067.48	1.486628	0.000428
1072.48	1.486598	0.000426
1077.48	1.486568	0.000424
1082.48	1.486538	0.000422
1087.48	1.486509	0.000420
1092.48	1.486481	0.000418
1097.48	1.486452	0.000416
1102.48	1.486424	0.000414

