Wavelength(nm)	Photon Energy (eV)	n	k
250	4.96	2.3505	0.2113379
260	4.769230769	2.3552	0.1801257
270	4.592592593	2.3513	0.1544102
280	4.428571429	2.3414	0.1331719
290	4.275862069	2.3274	0.1156021
300	4.133333333	2.3105	0.1010547
310	4	2.2918	0.08900975
320	3.875	2.272	0.07904635
330	3.757575758	2.2516	0.07082141
340	3.647058824	2.231	0.06405398
350	3.542857143	2.2106	0.05851254
360	3.444444444	2.1904	0.05400554
370	3.351351351	2.1708	0.05037373
380	3.263157895	2.1516	0.04748415
390	3.179487179	2.1331	0.04522533
400	3.1	2.1152	0.04350352
410	3.024390244	2.098	0.04223955
420	2.952380952	2.0815	0.04136638
430	2.88372093	2.0657	0.04082706
440	2.818181818	2.0505	0.04057307
450	2.755555556	2.036	0.04056298
460	2.695652174	2.0221	0.0407613
470	2.638297872	2.0088	0.04113761
480	2.583333333	1.9961	0.04166571
490	2.530612245	1.9839	0.04232306
500	2.48	1.9723	0.04309022
510	2.431372549	1.9613	0.04395034
520	2.384615385	1.9507	0.04488888
530	2.339622642	1.9405	0.04589323
540	2.296296296	1.9308	0.04695242
550	2.254545455	1.9216	0.04805696
560	2.214285714	1.9127	0.04919859
570	2.175438596	1.9042	0.05037013
580	2.137931034	1.8961	0.05156533
590	2.101694915	1.8883	0.05277875
600	2.066666667	1.8808	0.05400567
610	2.032786885	1.8737	0.05524196
620	2	1.8668	0.05648406
630	1.968253968	1.8602	0.05772886
640	1.9375	1.8539	0.05897364
650	1.907692308	1.8478	0.06021609
660	1.878787879	1.842	0.06145417
670	1.850746269	1.8364	0.06268614
680	1.823529412	1.831	0.06391049
690	1.797101449	1.8259	0.06512594
700	1.771428571	1.8209	0.06633137
710	1.746478873	1.8161	0.06752584
720	1.722222222	1.8115	0.06870857
730	1.698630137	1.807	0.06987888
740	1.675675676	1.8028	0.07103622
750	1.653333333	1.7986	0.07218014
760	1.631578947	1.7946	0.07331026
770	1.61038961	1.7908	0.07442628
780	1.58974359	1.7871	0.07552799
790	1.569620253	1.7835	0.07661521
800	1.55	1.7801	0.07768784
810	1.530864198	1.7767	0.0787458
820	1.512195122	1.7735	0.07978907
830	1.493975904	1.7704	0.08081765
840	1.476190476	1.7674	0.08183157
850	1.458823529	1.7645	0.0828309
