Source : ITO_HJY.dsp
Spectrum : 1

Wavelength	n	k

250.00	2.191431	0.500938
255.00	2.204517	0.489584
260.00	2.217056	0.476789
265.00	2.228848	0.462557
270.00	2.239688	0.446928
275.00	2.249369	0.429976
280.00	2.257691	0.411813
285.00	2.264469	0.392586
290.00	2.269544	0.372479
295.00	2.272790	0.351701
300.00	2.274116	0.330483
305.00	2.273480	0.309066
310.00	2.270883	0.287692
315.00	2.266371	0.266592
320.00	2.260031	0.245978
325.00	2.251989	0.226030
330.00	2.242398	0.206896
335.00	2.231435	0.188679
340.00	2.219292	0.171440
345.00	2.206171	0.155197
350.00	2.192279	0.139923
355.00	2.177831	0.125553
360.00	2.163045	0.111986
365.00	2.148155	0.099093
370.00	2.133414	0.086730
375.00	2.119107	0.074752
380.00	2.105563	0.063042
385.00	2.093155	0.051547
390.00	2.082282	0.040328
395.00	2.073327	0.029603
400.00	2.066570	0.019774
405.00	2.062079	0.011391
410.00	2.059625	0.005044
415.00	2.058672	0.001189
420.00	2.058488	0.000000
425.00	2.058330	0.000000
430.00	2.057616	0.000000
435.00	2.056009	0.000000
440.00	2.053410	0.000000
445.00	2.049886	0.000000
450.00	2.045597	0.000000
455.00	2.040731	0.000000
460.00	2.035470	0.000000
465.00	2.029970	0.000000
470.00	2.024355	0.000000
475.00	2.018722	0.000000
480.00	2.013143	0.000000
485.00	2.007667	0.000000
490.00	2.002330	0.000000
495.00	1.997156	0.000000
500.00	1.992158	0.000000
505.00	1.987343	0.000000
510.00	1.982715	0.000000
515.00	1.978273	0.000000
520.00	1.974015	0.000000
525.00	1.969935	0.000000
530.00	1.966028	0.000000
535.00	1.962288	0.000000
540.00	1.958708	0.000000
545.00	1.955281	0.000000
550.00	1.952000	0.000000
555.00	1.948859	0.000000
560.00	1.945851	0.000000
565.00	1.942969	0.000000
570.00	1.940207	0.000000
575.00	1.937559	0.000000
580.00	1.935020	0.000000
585.00	1.932584	0.000000
590.00	1.930246	0.000000
595.00	1.928001	0.000000
600.00	1.925844	0.000000
605.00	1.923771	0.000000
610.00	1.921779	0.000000
615.00	1.919862	0.000000
620.00	1.918017	0.000000
625.00	1.916242	0.000000
630.00	1.914532	0.000000
635.00	1.912884	0.000000
640.00	1.911296	0.000000
645.00	1.909764	0.000000
650.00	1.908286	0.000000
655.00	1.906860	0.000000
660.00	1.905483	0.000000
665.00	1.904153	0.000000
670.00	1.902868	0.000000
675.00	1.901626	0.000000
680.00	1.900425	0.000000
685.00	1.899263	0.000000
690.00	1.898139	0.000000
695.00	1.897051	0.000000
700.00	1.895996	0.000000
705.00	1.894975	0.000000
710.00	1.893986	0.000000
715.00	1.893027	0.000000
720.00	1.892097	0.000000
725.00	1.891194	0.000000
730.00	1.890319	0.000000
735.00	1.889469	0.000000
740.00	1.888644	0.000000
745.00	1.887843	0.000000
750.00	1.887064	0.000000
755.00	1.886308	0.000000
760.00	1.885573	0.000000
765.00	1.884858	0.000000
770.00	1.884162	0.000000
775.00	1.883485	0.000000
780.00	1.882827	0.000000
785.00	1.882186	0.000000
790.00	1.881562	0.000000
795.00	1.880954	0.000000
800.00	1.880362	0.000000
805.00	1.879785	0.000000
810.00	1.879223	0.000000
815.00	1.878675	0.000000
820.00	1.878140	0.000000
825.00	1.877619	0.000000
830.00	1.877110	0.000000
835.00	1.876614	0.000000
840.00	1.876130	0.000000
845.00	1.875657	0.000000
850.00	1.875195	0.000000

