Source : ITO_ysung2_NA_v1_upadate.dsp
Spectrum : 1

Wavelength	n	k

200.00	2.164533	0.612929
205.00	2.174916	0.610922
210.00	2.185719	0.608436
215.00	2.196946	0.605415
220.00	2.208595	0.601794
225.00	2.220657	0.597501
230.00	2.233118	0.592459
235.00	2.245956	0.586586
240.00	2.259136	0.579792
245.00	2.272612	0.571983
250.00	2.286325	0.563060
255.00	2.300194	0.552922
260.00	2.314123	0.541467
265.00	2.327993	0.528597
270.00	2.341658	0.514217
275.00	2.354950	0.498249
280.00	2.367672	0.480627
285.00	2.379603	0.461313
290.00	2.390498	0.440298
295.00	2.400089	0.417615
300.00	2.408100	0.393340
305.00	2.414247	0.367606
310.00	2.418257	0.340602
315.00	2.419876	0.312579
320.00	2.418889	0.283842
325.00	2.415133	0.254750
330.00	2.408510	0.225700
335.00	2.398997	0.197115
340.00	2.386658	0.169422
345.00	2.371637	0.143032
350.00	2.354159	0.118324
355.00	2.334514	0.095622
360.00	2.313045	0.075183
365.00	2.290128	0.057190
370.00	2.266154	0.041748
375.00	2.241508	0.028885
380.00	2.216556	0.018563
385.00	2.191633	0.010685
390.00	2.167029	0.005106
395.00	2.142993	0.001651
400.00	2.119722	0.000120
405.00	2.097372	0.000000
410.00	2.076053	0.000000
415.00	2.055839	0.000000
420.00	2.036771	0.000000
425.00	2.018865	0.000000
430.00	2.002112	0.000000
435.00	1.986488	0.000000
440.00	1.971957	0.000000
445.00	1.958473	0.000000
450.00	1.945984	0.000000
455.00	1.934434	0.000000
460.00	1.923766	0.000000
465.00	1.913923	0.000000
470.00	1.904848	0.000000
475.00	1.896487	0.000000
480.00	1.888786	0.000000
485.00	1.881697	0.000000
490.00	1.875172	0.000000
495.00	1.869167	0.000000
500.00	1.863641	0.000000
505.00	1.858556	0.000000
510.00	1.853876	0.000000
515.00	1.849570	0.000000
520.00	1.845607	0.000000
525.00	1.841959	0.000000
530.00	1.838601	0.000000
535.00	1.835510	0.000000
540.00	1.832663	0.000000
545.00	1.830043	0.000000
550.00	1.827630	0.000000
555.00	1.825408	0.000000
560.00	1.823362	0.000000
565.00	1.821479	0.000000
570.00	1.819745	0.000000
575.00	1.818149	0.000000
580.00	1.816680	0.000000
585.00	1.815328	0.000000
590.00	1.814085	0.000000
595.00	1.812943	0.000000
600.00	1.811893	0.000000
605.00	1.810929	0.000000
610.00	1.810044	0.000000
615.00	1.809232	0.000000
620.00	1.808489	0.000000
625.00	1.807809	0.000000
630.00	1.807187	0.000000
635.00	1.806620	0.000000
640.00	1.806102	0.000000
645.00	1.805632	0.000000
650.00	1.805205	0.000000
655.00	1.804818	0.000000
660.00	1.804469	0.000000
665.00	1.804155	0.000000
670.00	1.803873	0.000000
675.00	1.803621	0.000000
680.00	1.803397	0.000000
685.00	1.803199	0.000000
690.00	1.803026	0.000000
695.00	1.802875	0.000000
700.00	1.802745	0.000000
705.00	1.802635	0.000000
710.00	1.802544	0.000000
715.00	1.802469	0.000000
720.00	1.802410	0.000000
725.00	1.802366	0.000000
730.00	1.802336	0.000000
735.00	1.802318	0.000000
740.00	1.802313	0.000000
745.00	1.802319	0.000000
750.00	1.802335	0.000000
755.00	1.802360	0.000000
760.00	1.802395	0.000000
765.00	1.802438	0.000000
770.00	1.802489	0.000000
775.00	1.802548	0.000000
780.00	1.802613	0.000000
785.00	1.802684	0.000000
790.00	1.802761	0.000000
795.00	1.802844	0.000000
800.00	1.802932	0.000000
805.00	1.803024	0.000000
810.00	1.803121	0.000000
815.00	1.803221	0.000000
820.00	1.803326	0.000000
825.00	1.803434	0.000000
830.00	1.803545	0.000000
835.00	1.803659	0.000000
840.00	1.803775	0.000000
845.00	1.803894	0.000000
850.00	1.804016	0.000000

