LED1	2.59V	
339.86	-32.94	0
340.24	-32.94	0
340.621	-32.94	0
341.001	-17.34	0
341.381	4.95	0
341.762	-21.8	0
342.142	31.7	0
342.522	-3.96	0
342.902	-53	0
343.282	13.87	0
343.662	51.76	0
344.042	2.72	0
344.422	4.95	0
344.802	4.95	0
345.182	13.87	0
345.562	4.95	0
345.942	33.93	0
346.322	27.24	0
346.702	91.89	0
347.082	51.76	0
347.461	25.02	0
347.841	71.83	0
348.221	9.41	0
348.601	25.02	0
348.98	91.89	0
349.36	29.47	0
349.739	7.18	0
350.119	78.51	0
350.498	31.7	0
350.878	67.37	0
351.257	58.45	0
351.637	47.31	0
352.016	49.54	0
352.395	65.14	0
352.774	111.95	0
353.154	22.79	0
353.533	11.64	0
353.912	78.51	0
354.291	13.87	0
354.67	-10.65	0
355.049	107.49	0
355.428	38.39	0
355.807	-3.96	0
356.186	31.7	0
356.565	-3.96	0
356.944	51.76	0
357.323	33.93	0
357.702	-17.34	0
358.081	-15.11	0
358.46	38.39	0
358.838	40.62	0
359.217	42.85	0
359.596	-35.17	0
359.974	45.08	0
360.353	18.33	0
360.731	20.56	0
361.11	65.14	0
361.488	47.31	0
361.867	82.97	0
362.245	9.41	0
362.624	29.47	0
363.002	9.41	0
363.38	74.06	0
363.759	36.16	0
364.137	74.06	0
364.515	138.7	0
364.893	74.06	0
365.272	105.26	0
365.65	45.08	0
366.028	45.08	0
366.406	29.47	0
366.784	13.87	0
367.162	11.64	0
367.54	82.97	0
367.918	58.45	0
368.295	40.62	0
368.673	69.6	0
369.051	7.18	0
369.429	-21.8	0
369.807	69.6	0
370.184	25.02	0
370.562	125.32	0
370.94	27.24	0
371.317	38.39	0
371.695	-10.65	0
372.072	7.18	0
372.45	40.62	0
372.827	25.02	0
373.205	18.33	0
373.582	0.5	0
373.959	82.97	0
374.337	31.7	0
374.714	94.12	0
375.091	22.79	0
375.468	49.54	0
375.846	-21.8	0
376.223	11.64	0
376.6	58.45	0
376.977	49.54	0
377.354	45.08	0
377.731	-12.88	0
378.108	69.6	0
378.485	33.93	0
378.862	29.47	0
379.239	96.35	0
379.616	96.35	0
379.992	22.79	0
380.369	-1.73	0
380.746	40.62	0
381.123	42.85	0
381.499	67.37	0
381.876	38.39	0
382.252	67.37	0
382.629	45.08	0
383.005	2.72	0
