TiO2	n	k
300	2.981764369	0
310	2.946974535	0
320	2.915411996	0
330	2.886684338	0
340	2.860458013	0
350	2.836447857	0
360	2.814408763	0
370	2.794129006	0
380	2.775424857	0
390	2.758136194	0
400	2.742122914	0
410	2.727261966	0
420	2.713444898	0
430	2.700575806	0
440	2.688569617	0
450	2.677350642	0
460	2.666851352	0
470	2.65701134	0
480	2.647776429	0
490	2.639097915	0
500	2.630931916	0
510	2.623238799	0
520	2.615982705	0
530	2.609131115	0
540	2.602654488	0
550	2.596525933	0
560	2.590720935	0
570	2.585217101	0
580	2.579993946	0
590	2.575032698	0
600	2.570316132	0
610	2.565828416	0
620	2.56155498	0
630	2.557482396	0
640	2.553598272	0
650	2.549891158	0
660	2.546350461	0
670	2.542966369	0
680	2.539729783	0
690	2.536632254	0
700	2.533665933	0
710	2.530823513	0
720	2.528098191	0
730	2.525483625	0
740	2.522973896	0
750	2.520563475	0
760	2.518247192	0
770	2.516020211	0
780	2.513878002	0
790	2.511816317	0
800	2.509831172	0
