Wavelength	n	k

300.00	1.541912	0.042035
310.00	1.535918	0.030700
320.00	1.531247	0.027452
330.00	1.548481	0.026526
340.00	1.546832	0.020288
350.00	1.541019	0.027546
360.00	1.536648	0.027696
370.00	1.526631	0.023160
380.00	1.524826	0.025687
390.00	1.534143	0.024117
400.00	1.537102	0.023527
410.00	1.529340	0.020523
420.00	1.516875	0.020278
430.00	1.524113	0.021857
440.00	1.526916	0.020249
450.00	1.523659	0.022896
460.00	1.515766	0.027054
470.00	1.527580	0.025881
480.00	1.513880	0.025026
490.00	1.531602	0.031108
500.00	1.514290	0.025115
510.00	1.512464	0.022710
520.00	1.514400	0.028875
530.00	1.514505	0.024719
540.00	1.518944	0.027682
550.00	1.515815	0.028482
560.00	1.522483	0.023652
570.00	1.512104	0.024699
580.00	1.504765	0.022670
590.00	1.515229	0.021918
600.00	1.513483	0.021052
610.00	1.534061	0.035875
620.00	1.513088	0.020661
630.00	1.511032	0.022506
640.00	1.510403	0.026915
650.00	1.522491	0.017262
660.00	1.494478	0.028266
670.00	1.515857	0.036447
680.00	1.526846	0.040439
690.00	1.520448	0.031336
700.00	1.517710	0.013213

