YAG		
Wavelength(nm)	n	k
300	1.904	0
305	1.901	0
310	1.898	0
315	1.895	0
320	1.892	0
325	1.889	0
330	1.887	0
335	1.884	0
340	1.882	0
345	1.880	0
350	1.877	0
355	1.875	0
360	1.874	0
365	1.872	0
370	1.870	0
375	1.868	0
380	1.867	0
385	1.865	0
390	1.864	0
395	1.862	0
400	1.861	0
405	1.860	0
410	1.858	0
415	1.857	0
420	1.856	0
425	1.855	0
430	1.854	0
435	1.853	0
440	1.852	0
445	1.851	0
450	1.850	0
455	1.849	0
460	1.848	0
465	1.847	0
470	1.846	0
475	1.846	0
480	1.845	0
485	1.844	0
490	1.843	0
495	1.843	0
500	1.842	0
505	1.841	0
510	1.841	0
515	1.840	0
520	1.839	0
525	1.839	0
530	1.838	0
535	1.838	0
540	1.837	0
545	1.837	0
550	1.836	0
555	1.836	0
560	1.835	0
565	1.835	0
570	1.834	0
575	1.834	0
580	1.833	0
585	1.833	0
590	1.833	0
595	1.832	0
600	1.832	0
605	1.831	0
610	1.831	0
615	1.831	0
620	1.830	0
625	1.830	0
630	1.830	0
635	1.829	0
640	1.829	0
645	1.829	0
650	1.828	0
655	1.828	0
660	1.828	0
665	1.827	0
670	1.827	0
675	1.827	0
680	1.827	0
685	1.826	0
690	1.826	0
695	1.826	0
700	1.826	0
705	1.825	0
710	1.825	0
715	1.825	0
720	1.825	0
725	1.824	0
730	1.824	0
735	1.824	0
750	1.823	0
755	1.823	0
770	1.823	0
785	1.822	0
800	1.821	0
