Wavelength	n
200	16.75428721
205	17.17858812
210	17.60275944
215	18.02681031
220	18.45074903
225	18.87458317
230	19.29831961
235	19.72196465
240	20.14552406
245	20.56900313
250	20.99240672
255	21.4157393
260	21.83900501
265	22.26220766
270	22.68535078
275	23.10843763
280	23.53147126
285	23.95445449
290	24.37738993
295	24.80028004
300	25.22312708
305	25.6459332
310	26.06870039
315	26.4914305
320	26.91412528
325	27.33678638
330	27.75941534
335	28.18201359
340	28.6045825
345	29.02712335
350	29.44963735
355	29.87212563
360	30.29458928
365	30.71702931
370	31.13944668
375	31.56184231
380	31.98421704
385	32.40657171
390	32.82890708
395	33.25122388
400	33.67352283
405	34.09580458
410	34.51806976
415	34.94031897
420	35.36255279
425	35.78477176
430	36.2069764
435	36.6291672
440	37.05134464
445	37.47350917
450	37.89566123
455	38.31780121
460	38.73992953
465	39.16204655
470	39.58415264
475	40.00624813
480	40.42833338
485	40.85040869
490	41.27247436
495	41.69453069
500	42.11657797
505	42.53861645
510	42.96064641
515	43.38266808
520	43.80468171
525	44.22668753
530	44.64868576
535	45.07067661
540	45.49266029
545	45.91463699
550	46.33660691
555	46.75857023
560	47.18052713
565	47.60247777
570	48.02442233
575	48.44636096
580	48.86829381
585	49.29022104
590	49.71214278
595	50.13405918
600	50.55597037
605	50.97787647
610	51.39977762
615	51.82167394
620	52.24356554
625	52.66545253
630	53.08733502
635	53.50921313
640	53.93108695
645	54.35295659
650	54.77482213
655	55.19668369
660	55.61854133
665	56.04039516
670	56.46224526
675	56.88409171
680	57.3059346
685	57.72777399
690	58.14960997
695	58.57144261
700	58.99327199
705	59.41509816
710	59.83692121
715	60.25874119
720	60.68055817
725	61.10237221
730	61.52418337
735	61.94599172
740	62.3677973
745	62.78960017
750	63.21140039
755	63.63319802
760	64.05499309
765	64.47678567
770	64.89857579
775	65.32036352
780	65.74214888
785	66.16393194
790	66.58571273
795	67.0074913
800	67.42926768
805	67.85104192
810	68.27281406
815	68.69458414
820	69.11635219
825	69.53811825
830	69.95988236
835	70.38164455
840	70.80340486
845	71.22516332
850	71.64691996
855	72.06867482
860	72.49042792
865	72.9121793
870	73.33392898
875	73.755677
880	74.17742338
885	74.59916816
890	75.02091135
895	75.44265299
900	75.8643931
