al2o3		
WL (nm)	n	k
300	1.64494	0
302	1.64392	0
304	1.64295	0
306	1.64201	0
308	1.64106	0
310	1.64012	0
312	1.63925	0
314	1.63839	0
316	1.63752	0
318	1.63666	0
320	1.63586	0
322	1.63507	0
324	1.63428	0
326	1.63349	0
328	1.63275	0
330	1.63203	0
332	1.6313	0
334	1.63058	0
336	1.62988	0
338	1.62922	0
340	1.62855	0
342	1.62789	0
344	1.62723	0
346	1.62661	0
348	1.62601	0
350	1.62541	0
352	1.6248	0
354	1.6242	0
356	1.62365	0
358	1.6231	0
360	1.62255	0
362	1.622	0
364	1.62145	0
366	1.62094	0
368	1.62044	0
370	1.61995	0
372	1.61945	0
374	1.61895	0
376	1.61846	0
378	1.61801	0
380	1.61757	0
382	1.61712	0
384	1.61667	0
386	1.61622	0
388	1.61578	0
390	1.61537	0
392	1.61497	0
394	1.61456	0
396	1.61415	0
398	1.61375	0
400	1.61334	0
402	1.61298	0
404	1.61261	0
406	1.61225	0
408	1.61188	0
410	1.61152	0
412	1.61115	0
414	1.6108	0
416	1.61047	0
418	1.61014	0
420	1.60982	0
422	1.60949	0
424	1.60916	0
426	1.60883	0
428	1.60851	0
430	1.60822	0
432	1.60793	0
434	1.60763	0
436	1.60734	0
438	1.60705	0
440	1.60675	0
442	1.60646	0
444	1.60619	0
446	1.60592	0
448	1.60566	0
450	1.6054	0
452	1.60514	0
454	1.60488	0
456	1.60462	0
458	1.60435	0
460	1.6041	0
462	1.60387	0
464	1.60364	0
466	1.60341	0
468	1.60317	0
470	1.60294	0
472	1.60271	0
474	1.60248	0
476	1.60225	0
478	1.60203	0
480	1.60182	0
482	1.60162	0
484	1.60141	0
486	1.60121	0
488	1.601	0
490	1.6008	0
492	1.60059	0
494	1.60038	0
496	1.60018	0
498	1.6	0
500	1.59982	0
502	1.59964	0
504	1.59946	0
506	1.59927	0
508	1.59909	0
510	1.59891	0
512	1.59873	0
514	1.59855	0
516	1.59837	0
518	1.5982	0
520	1.59804	0
522	1.59789	0
524	1.59773	0
526	1.59757	0
528	1.59741	0
530	1.59725	0
532	1.59709	0
534	1.59693	0
536	1.59677	0
538	1.59662	0
540	1.59647	0
542	1.59633	0
544	1.59619	0
546	1.59605	0
548	1.59591	0
550	1.59577	0
552	1.59563	0
554	1.5955	0
556	1.59536	0
558	1.59522	0
560	1.59508	0
562	1.59494	0
564	1.59481	0
566	1.59469	0
568	1.59457	0
570	1.59445	0
572	1.59433	0
574	1.59421	0
576	1.59409	0
578	1.59397	0
580	1.59385	0
582	1.59373	0
584	1.59361	0
586	1.59349	0
588	1.59337	0
590	1.59325	0
592	1.59314	0
594	1.59303	0
596	1.59293	0
598	1.59283	0
600	1.59272	0
602	1.59262	0
604	1.59252	0
606	1.59241	0
608	1.59231	0
610	1.59221	0
612	1.5921	0
614	1.592	0
616	1.5919	0
618	1.59179	0
620	1.59169	0
622	1.5916	0
624	1.59151	0
626	1.59142	0
628	1.59133	0
630	1.59125	0
632	1.59116	0
634	1.59107	0
636	1.59098	0
638	1.59089	0
640	1.5908	0
642	1.59071	0
644	1.59062	0
646	1.59054	0
648	1.59045	0
650	1.59036	0
652	1.59027	0
654	1.59019	0
656	1.59012	0
658	1.59004	0
660	1.58997	0
662	1.58989	0
664	1.58981	0
666	1.58974	0
668	1.58966	0
670	1.58959	0
672	1.58951	0
674	1.58944	0
676	1.58936	0
678	1.58929	0
680	1.58921	0
682	1.58914	0
684	1.58906	0
686	1.58899	0
688	1.58891	0
690	1.58884	0
692	1.58878	0
694	1.58872	0
696	1.58865	0
698	1.58859	0
700	1.58853	0
702	1.58846	0
704	1.5884	0
706	1.58833	0
708	1.58827	0
710	1.58821	0
712	1.58814	0
714	1.58808	0
716	1.58802	0
718	1.58795	0
720	1.58789	0
722	1.58783	0
724	1.58776	0
726	1.5877	0
728	1.58764	0
730	1.58758	0
732	1.58752	0
734	1.58747	0
736	1.58742	0
738	1.58736	0
740	1.58731	0
742	1.58726	0
744	1.58721	0
746	1.58715	0
748	1.5871	0
750	1.58705	0
752	1.58699	0
754	1.58694	0
756	1.58689	0
758	1.58683	0
760	1.58678	0
762	1.58673	0
764	1.58668	0
766	1.58662	0
768	1.58657	0
770	1.58652	0
772	1.58646	0
774	1.58641	0
776	1.58636	0
778	1.58632	0
780	1.58628	0
782	1.58623	0
784	1.58619	0
786	1.58614	0
788	1.5861	0
790	1.58606	0
792	1.58601	0
794	1.58597	0
796	1.58593	0
798	1.58588	0
800	1.58584	0
802	1.5858	0
804	1.58575	0
806	1.58571	0
808	1.58566	0
810	1.58562	0
812	1.58558	0
814	1.58553	0
816	1.58549	0
818	1.58545	0
820	1.5854	0
822	1.58536	0
824	1.58532	0
826	1.58527	0
828	1.58524	0
830	1.5852	0
832	1.58517	0
834	1.58513	0
836	1.5851	0
838	1.58506	0
840	1.58503	0
842	1.58499	0
844	1.58496	0
846	1.58492	0
848	1.58489	0
850	1.58486	0
852	1.58482	0
