Coverglass		
WL (nm)	n	k
200	1.65572	0.076504
205	1.65154	0.065209
210	1.64671	0.055443
215	1.6415	0.047064
220	1.63615	0.039912
225	1.6308	0.033827
230	1.62556	0.028659
235	1.62049	0.024272
240	1.61563	0.020548
245	1.61101	0.017386
250	1.60664	0.014699
255	1.60251	0.012414
260	1.59861	0.010468
265	1.59495	0.008811
270	1.5915	0.007398
275	1.58826	0.006194
280	1.58521	0.005167
285	1.58234	0.004291
290	1.57963	0.003545
295	1.57709	0.002911
300	1.57469	0.002372
305	1.57243	0.001915
310	1.57029	0.00153
315	1.56826	0.001206
320	1.56635	0.000935
325	1.56454	0.000711
330	1.56282	0.000527
335	1.56118	0.000378
340	1.55963	0.000259
345	1.55816	0.000167
350	1.55675	0.000098
355	1.55541	0.000049
360	1.55414	0.000018
365	1.55292	0.000003
370	1.55175	0
375	1.55064	0
380	1.54957	0
385	1.54855	0
390	1.54757	0
395	1.54663	0
400	1.54573	0
405	1.54486	0
410	1.54403	0
415	1.54323	0
420	1.54246	0
425	1.54172	0
430	1.541	0
435	1.54031	0
440	1.53964	0
445	1.539	0
450	1.53838	0
455	1.53778	0
460	1.5372	0
465	1.53664	0
470	1.53609	0
475	1.53556	0
480	1.53505	0
485	1.53456	0
490	1.53408	0
495	1.53361	0
500	1.53316	0
505	1.53272	0
510	1.53229	0
515	1.53188	0
520	1.53148	0
525	1.53108	0
530	1.5307	0
535	1.53033	0
540	1.52997	0
545	1.52962	0
550	1.52928	0
555	1.52894	0
560	1.52862	0
565	1.5283	0
570	1.52799	0
575	1.52769	0
580	1.52739	0
585	1.5271	0
590	1.52682	0
595	1.52655	0
600	1.52628	0
605	1.52602	0
610	1.52576	0
615	1.52551	0
620	1.52526	0
625	1.52502	0
630	1.52479	0
635	1.52456	0
640	1.52433	0
645	1.52411	0
650	1.5239	0
655	1.52369	0
660	1.52348	0
665	1.52328	0
670	1.52308	0
675	1.52288	0
680	1.52269	0
685	1.5225	0
690	1.52232	0
695	1.52214	0
700	1.52196	0
705	1.52179	0
710	1.52162	0
715	1.52145	0
720	1.52129	0
725	1.52113	0
730	1.52097	0
735	1.52081	0
740	1.52066	0
745	1.52051	0
750	1.52036	0
755	1.52021	0
760	1.52007	0
765	1.51993	0
770	1.51979	0
775	1.51966	0
780	1.51952	0
785	1.51939	0
790	1.51926	0
795	1.51914	0
800	1.51901	0
805	1.51889	0
810	1.51877	0
815	1.51865	0
820	1.51853	0
825	1.51841	0
830	1.5183	0
835	1.51819	0
840	1.51808	0
845	1.51797	0
850	1.51786	0
855	1.51775	0
860	1.51765	0
865	1.51755	0
870	1.51745	0
875	1.51735	0
880	1.51725	0
885	1.51715	0
890	1.51705	0
895	1.51696	0
900	1.51687	0
905	1.51678	0
910	1.51668	0
915	1.5166	0
920	1.51651	0
925	1.51642	0
930	1.51633	0
935	1.51625	0
940	1.51617	0
945	1.51608	0
950	1.516	0
955	1.51592	0
960	1.51584	0
965	1.51576	0
970	1.51569	0
975	1.51561	0
980	1.51553	0
985	1.51546	0
990	1.51539	0
995	1.51531	0
1000	1.51524	0
1005	1.51517	0
1010	1.5151	0
1015	1.51503	0
1020	1.51496	0
1025	1.51489	0
1030	1.51483	0
1035	1.51476	0
1040	1.51469	0
1045	1.51463	0
1050	1.51457	0
1055	1.5145	0
1060	1.51444	0
1065	1.51438	0
1070	1.51432	0
1075	1.51426	0
1080	1.5142	0
1085	1.51414	0
1090	1.51408	0
1095	1.51402	0
1100	1.51396	0
1105	1.51391	0
1110	1.51385	0
1115	1.5138	0
1120	1.51374	0
1125	1.51369	0
1130	1.51363	0
1135	1.51358	0
1140	1.51353	0
1145	1.51348	0
1150	1.51342	0
1155	1.51337	0
1160	1.51332	0
1165	1.51327	0
1170	1.51322	0
1175	1.51318	0
1180	1.51313	0
1185	1.51308	0
1190	1.51303	0
1195	1.51298	0
1200	1.51294	0
1205	1.51289	0
1210	1.51285	0
1215	1.5128	0
1220	1.51276	0
1225	1.51271	0
1230	1.51267	0
1235	1.51262	0
1240	1.51258	0
1245	1.51254	0
1250	1.5125	0
1255	1.51245	0
1260	1.51241	0
1265	1.51237	0
1270	1.51233	0
1275	1.51229	0
1280	1.51225	0
1285	1.51221	0
1290	1.51217	0
1295	1.51213	0
1300	1.51209	0
1305	1.51205	0
1310	1.51202	0
1315	1.51198	0
1320	1.51194	0
1325	1.5119	0
1330	1.51187	0
1335	1.51183	0
1340	1.5118	0
1345	1.51176	0
1350	1.51172	0
1355	1.51169	0
1360	1.51165	0
1365	1.51162	0
1370	1.51159	0
1375	1.51155	0
1380	1.51152	0
1385	1.51148	0
1390	1.51145	0
1395	1.51142	0
1400	1.51139	0
1405	1.51135	0
1410	1.51132	0
1415	1.51129	0
1420	1.51126	0
1425	1.51123	0
1430	1.5112	0
1435	1.51117	0
1440	1.51113	0
1445	1.5111	0
1450	1.51107	0
1455	1.51104	0
1460	1.51101	0
1465	1.51099	0
1470	1.51096	0
1475	1.51093	0
1480	1.5109	0
1485	1.51087	0
1490	1.51084	0
1495	1.51081	0
1500	1.51079	0
1505	1.51076	0
1510	1.51073	0
1515	1.5107	0
1520	1.51068	0
1525	1.51065	0
1530	1.51062	0
1535	1.5106	0
1540	1.51057	0
1545	1.51054	0
1550	1.51052	0
1555	1.51049	0
1560	1.51047	0
1565	1.51044	0
1570	1.51042	0
1575	1.51039	0
1580	1.51037	0
1585	1.51034	0
1590	1.51032	0
1595	1.51029	0
1600	1.51027	0
1605	1.51025	0
1610	1.51022	0
1615	1.5102	0
1620	1.51018	0
1625	1.51015	0
1630	1.51013	0
1635	1.51011	0
1640	1.51008	0
1645	1.51006	0
1650	1.51004	0
1655	1.51002	0
1660	1.50999	0
1665	1.50997	0
1670	1.50995	0
1675	1.50993	0
1680	1.50991	0
1685	1.50989	0
1690	1.50986	0
1695	1.50984	0
1700	1.50982	0
1705	1.5098	0
1710	1.50978	0
1715	1.50976	0
1720	1.50974	0
1725	1.50972	0
1730	1.5097	0
1735	1.50968	0
1740	1.50966	0
1745	1.50964	0
1750	1.50962	0
1755	1.5096	0
1760	1.50958	0
1765	1.50956	0
1770	1.50954	0
1775	1.50952	0
1780	1.5095	0
1785	1.50949	0
1790	1.50947	0
1795	1.50945	0
1800	1.50943	0
1805	1.50941	0
1810	1.50939	0
1815	1.50937	0
1820	1.50936	0
1825	1.50934	0
1830	1.50932	0
1835	1.5093	0
1840	1.50929	0
1845	1.50927	0
1850	1.50925	0
1855	1.50923	0
1860	1.50922	0
1865	1.5092	0
1870	1.50918	0
1875	1.50917	0
1880	1.50915	0
1885	1.50913	0
1890	1.50912	0
1895	1.5091	0
1900	1.50908	0
1905	1.50907	0
1910	1.50905	0
1915	1.50903	0
1920	1.50902	0
1925	1.509	0
1930	1.50899	0
1935	1.50897	0
1940	1.50895	0
1945	1.50894	0
1950	1.50892	0
1955	1.50891	0
1960	1.50889	0
1965	1.50888	0
1970	1.50886	0
1975	1.50885	0
1980	1.50883	0
1985	1.50882	0
1990	1.5088	0
1995	1.50879	0
2000	1.50877	0
2005	1.50876	0
2010	1.50874	0
2015	1.50873	0
2020	1.50872	0
2025	1.5087	0
2030	1.50869	0
2035	1.50867	0
2040	1.50866	0
2045	1.50865	0
2050	1.50863	0
2055	1.50862	0
2060	1.5086	0
2065	1.50859	0
1048	1.40198	0.000018
1050	1.40196	0.000018
1052	1.40195	0.000018
1054	1.40193	0.000018
1056	1.40192	0.000018
1058	1.4019	0.000018
1060	1.40189	0.000018
1062	1.40187	0.000018
1064	1.40186	0.000018
1066	1.40185	0.000018
1068	1.40183	0.000018
1070	1.40182	0.000018
1072	1.4018	0.000018
1074	1.40179	0.000018
1076	1.40178	0.000018
1078	1.40176	0.000018
1080	1.40175	0.000018
1082	1.40173	0.000018
1084	1.40172	0.000018
1086	1.40171	0.000018
1088	1.40169	0.000018
1090	1.40168	0.000018
1092	1.40166	0.000019
1094	1.40165	0.000019
1096	1.40164	0.000019
1098	1.40162	0.000019
1100	1.40161	0.000019
1102	1.4016	0.000019
1104	1.40158	0.000019
1106	1.40157	0.000019
1108	1.40156	0.000019
1110	1.40155	0.000019
1112	1.40153	0.00002
1114	1.40152	0.00002
1116	1.40151	0.00002
1118	1.4015	0.00002
1120	1.40148	0.00002
1122	1.40147	0.000021
1124	1.40146	0.000021
1126	1.40145	0.000021
1128	1.40144	0.000021
1130	1.40142	0.000021
1132	1.40141	0.000021
1134	1.4014	0.000022
1136	1.40139	0.000022
1138	1.40137	0.000022
1140	1.40136	0.000022
1142	1.40135	0.000022
1144	1.40134	0.000022
1146	1.40133	0.000023
1148	1.40131	0.000023
1150	1.4013	0.000023
1152	1.40129	0.000023
1154	1.40128	0.000023
1156	1.40127	0.000023
1158	1.40126	0.000023
1160	1.40125	0.000023
1162	1.40124	0.000023
1164	1.40123	0.000023
1166	1.40121	0.000023
1168	1.4012	0.000024
1170	1.40119	0.000024
1172	1.40118	0.000024
1174	1.40117	0.000024
1176	1.40116	0.000024
1178	1.40115	0.000024
1180	1.40114	0.000024
1182	1.40113	0.000024
1184	1.40112	0.000024
1186	1.40111	0.000024
1188	1.4011	0.000024
1190	1.40109	0.000024
1192	1.40107	0.000024
1194	1.40106	0.000024
1196	1.40105	0.000024
1198	1.40104	0.000025
1200	1.40103	0.000025
1202	1.40102	0.000024
1204	1.40101	0.000024
1206	1.401	0.000024
1208	1.40099	0.000024
1210	1.40098	0.000024
1212	1.40097	0.000024
1214	1.40096	0.000024
1216	1.40096	0.000023
1218	1.40095	0.000023
1220	1.40094	0.000023
1222	1.40093	0.000023
1224	1.40092	0.000023
1226	1.40091	0.000023
1228	1.4009	0.000023
1230	1.40089	0.000022
1232	1.40088	0.000022
1234	1.40087	0.000022
1236	1.40086	0.000022
1238	1.40085	0.000022
1240	1.40084	0.000022
1242	1.40083	0.000022
1244	1.40082	0.000021
1246	1.40081	0.000021
1248	1.4008	0.000021
1250	1.40079	0.000021
1252	1.40079	0.000021
1254	1.40078	0.000021
1256	1.40077	0.000021
1258	1.40076	0.000021
1260	1.40075	0.000021
1262	1.40074	0.000021
1264	1.40073	0.000021
1266	1.40073	0.000021
1268	1.40072	0.000021
1270	1.40071	0.000021
1272	1.4007	0.000021
1274	1.40069	0.000022
1276	1.40068	0.000022
1278	1.40068	0.000022
1280	1.40067	0.000022
1282	1.40066	0.000022
1284	1.40065	0.000022
1286	1.40064	0.000022
1288	1.40063	0.000022
1290	1.40062	0.000022
1292	1.40062	0.000022
1294	1.40061	0.000022
1296	1.4006	0.000022
1298	1.40059	0.000022
1300	1.40058	0.000022
1302	1.40058	0.000022
1304	1.40057	0.000022
1306	1.40056	0.000022
1308	1.40055	0.000022
1310	1.40055	0.000023
1312	1.40054	0.000023
1314	1.40053	0.000023
1316	1.40052	0.000023
1318	1.40052	0.000023
1320	1.40051	0.000023
1322	1.4005	0.000023
1324	1.40049	0.000023
1326	1.40049	0.000023
1328	1.40048	0.000023
1330	1.40047	0.000023
1332	1.40046	0.000024
1334	1.40046	0.000024
1336	1.40045	0.000024
1338	1.40044	0.000024
1340	1.40043	0.000024
1342	1.40043	0.000024
1344	1.40042	0.000024
1346	1.40041	0.000024
1348	1.4004	0.000024
1350	1.4004	0.000024
1352	1.40039	0.000025
1354	1.40038	0.000026
1356	1.40037	0.000026
1358	1.40037	0.000027
1360	1.40036	0.000028
1362	1.40035	0.000028
1364	1.40035	0.000029
1366	1.40034	0.000029
1368	1.40033	0.00003
1370	1.40033	0.000031
1372	1.40032	0.000031
1374	1.40031	0.000032
1376	1.40031	0.000033
1378	1.4003	0.000033
1380	1.40029	0.000034
1382	1.40029	0.000035
1384	1.40028	0.000035
1386	1.40027	0.000036
1388	1.40027	0.000036
1390	1.40026	0.000037
1392	1.40025	0.000038
1394	1.40025	0.000038
1396	1.40024	0.000039
1398	1.40023	0.00004
1400	1.40023	0.00004
1402	1.40022	0.00004
1404	1.40021	0.000039
1406	1.40021	0.000039
1408	1.4002	0.000038
1410	1.4002	0.000038
1412	1.40019	0.000037
