wavelength	n	k
300	1.555105	0
310	1.543683	0
320	1.539581	0
330	1.535815	0
340	1.530934	0
350	1.527506	0
360	1.527423	0
370	1.524625	0
380	1.521828	0
390	1.525163	0
400	1.526716	0
410	1.520501	0
420	1.520816	0
430	1.522607	0
440	1.521022	0
450	1.521704	0
460	1.52138		0
470	1.519134	0
480	1.520918	0
490	1.516658	0
500	1.522859	0
510	1.523455	0
520	1.512732	0
530	1.518421	0
540	1.519906	0
550	1.519986	0
560	1.520602	0
570	1.51488		0
580	1.524335	0
590	1.512821	0
600	1.527385	0
610	1.517512	0
620	1.519568	0
630	1.518414	0
640	1.51606		0
650	1.523807	0
660	1.514223	0
670	1.525936	0
680	1.51856		0
690	1.518894	0
700	1.517772	0
710	1.51772		0
