phosphor		
wavelength	intensity	not used
356.565	117.15	0
356.944	88.17	0
357.323	70.34	0
357.702	63.65	0
358.081	45.82	0
358.46	41.36	0
358.838	30.22	0
359.217	83.71	0
359.596	52.51	0
359.974	7.93	0
360.353	54.74	0
360.731	92.63	0
361.11	79.26	0
361.488	68.11	0
361.867	132.75	0
362.245	106.01	0
362.624	16.84	0
363.002	61.42	0
363.38	54.74	0
363.759	68.11	0
364.137	74.8	0
364.515	0	0
364.893	79.26	0
365.272	39.13	0
365.65	16.84	0
366.028	70.34	0
366.406	0	0
366.784	21.3	0
367.162	77.03	0
367.54	43.59	0
367.918	54.74	0
368.295	0	0
368.673	32.45	0
369.051	54.74	0
369.429	23.53	0
369.807	65.88	0
370.184	32.45	0
370.562	12.38	0
370.94	25.76	0
371.317	83.71	0
371.695	106.01	0
372.072	48.05	0
372.45	74.8	0
372.827	43.59	0
373.205	0	0
373.582	52.51	0
373.959	30.22	0
374.337	50.28	0
374.714	30.22	0
375.091	88.17	0
375.468	52.51	0
375.846	65.88	0
376.223	54.74	0
376.6	39.13	0
376.977	150.59	0
377.354	36.9	0
377.731	48.05	0
378.108	94.86	0
378.485	68.11	0
378.862	56.97	0
379.239	21.3	0
379.616	43.59	0
379.992	85.94	0
380.369	39.13	0
380.746	54.74	0
381.123	77.03	0
381.499	0	0
381.876	81.49	0
382.252	43.59	0
382.629	19.07	0
383.005	65.88	0
383.382	32.45	0
383.758	59.19	0
384.135	25.76	0
384.511	39.13	0
384.888	48.05	0
385.264	50.28	0
385.64	12.38	0
386.016	85.94	0
386.393	112.69	0
386.769	77.03	0
387.145	10.15	0
387.521	0	0
387.897	36.9	0
388.273	45.82	0
388.649	101.55	0
389.025	0	0
389.401	41.36	0
389.777	0	0
390.153	16.84	0
390.529	39.13	0
390.904	43.59	0
391.28	39.13	0
391.656	90.4	0
392.031	14.61	0
392.407	61.42	0
392.783	65.88	0
393.158	90.4	0
393.534	70.34	0
393.909	59.19	0
394.285	77.03	0
394.66	141.67	0
395.036	72.57	0
395.411	56.97	0
395.786	161.73	0
396.162	141.67	0
396.537	152.82	0
396.912	103.78	0
397.287	134.98	0
397.662	88.17	0
398.037	123.84	0
398.413	148.36	0
398.788	81.49	0
399.163	170.65	0
399.538	181.79	0
399.913	181.79	0
400.287	157.27	0
400.662	277.64	0
401.037	201.86	0
401.412	213	0
401.787	346.75	0
402.161	279.87	0
402.536	286.56	0
402.911	235.29	0
403.285	364.58	0
403.66	326.68	0
404.034	391.33	0
404.409	455.97	0
404.783	467.12	0
405.158	476.03	0
405.532	569.65	0
405.907	620.92	0
406.281	594.17	0
406.655	598.63	0
407.03	801.48	0
407.404	843.83	0
407.778	990.95	0
408.152	973.12	0
408.526	1055.59	0
408.9	1207.17	0
409.274	1253.98	0
409.648	1369.89	0
410.022	1550.45	0
410.396	1650.76	0
410.77	1804.57	0
411.144	1911.56	0
411.518	2051.99	0
411.892	2156.76	0
412.265	2437.62	0
412.639	2656.07	0
413.013	2736.32	0
413.387	3026.1	0
413.76	3309.2	0
414.134	3590.06	0
414.507	3656.93	0
