wavelength	value
300	1
305	3.5
310	6
315	8.5
320	11
325	13.5
330	16
335	18.5
340	21
345	23.5
350	26
355	28.5
360	31
365	33.5
370	36
375	38.5
380	41
385	43.5
390	46
395	48.5
400	51
405	53.5
410	56
415	58.5
420	61
425	63.5
430	66
435	68.5
440	71
445	73.5
450	76
455	78.5
460	81
465	83.5
470	86
475	88.5
480	91
485	93.5
490	96
495	98.5
500	101
505	100
510	97.5
515	95
520	92.5
525	90
530	87.5
535	85
540	82.5
545	80
550	77.5
555	75
560	72.5
565	70
570	67.5
575	65
580	62.5
585	60
590	57.5
595	55
600	52.5
605	50
610	47.5
615	45
620	42.5
625	40
630	37.5
635	35
640	32.5
645	30
650	27.5
655	25
660	22.5
665	20
670	17.5
675	15
680	12.5
685	10
690	7.5
695	5
700	2.5
