wavelength	n	k
300	1.498395	0
305	1.497138	0
310	1.49595	0
315	1.494824	0
320	1.493757	0
325	1.492744	0
330	1.491782	0
335	1.490867	0
340	1.489996	0
345	1.489167	0
350	1.488376	0
355	1.487621	0
360	1.486901	0
365	1.486212	0
370	1.485553	0
375	1.484923	0
380	1.48432	0
385	1.483741	0
390	1.483187	0
395	1.482655	0
400	1.482144	0
405	1.481653	0
410	1.481181	0
415	1.480728	0
420	1.480291	0
425	1.479871	0
430	1.479466	0
435	1.479076	0
440	1.4787	0
445	1.478338	0
450	1.477988	0
455	1.47765	0
460	1.477323	0
465	1.477008	0
470	1.476703	0
475	1.476408	0
480	1.476123	0
485	1.475847	0
490	1.47558	0
495	1.475321	0
500	1.475071	0
505	1.474828	0
510	1.474592	0
515	1.474364	0
520	1.474142	0
525	1.473927	0
530	1.473719	0
535	1.473516	0
540	1.473319	0
545	1.473128	0
550	1.472942	0
555	1.472761	0
560	1.472586	0
565	1.472415	0
570	1.472249	0
575	1.472087	0
580	1.471929	0
585	1.471776	0
590	1.471627	0
595	1.471481	0
600	1.471339	0
605	1.471201	0
610	1.471067	0
615	1.470935	0
620	1.470807	0
625	1.470682	0
630	1.470561	0
635	1.470442	0
640	1.470326	0
645	1.470212	0
650	1.470102	0
655	1.469994	0
660	1.469888	0
665	1.469785	0
670	1.469684	0
675	1.469586	0
680	1.46949	0
685	1.469396	0
690	1.469304	0
695	1.469214	0
700	1.469126	0
705	1.46904	0
710	1.468955	0
715	1.468873	0
720	1.468792	0
725	1.468713	0
730	1.468636	0
735	1.46856	0
740	1.468486	0
745	1.468413	0
750	1.468342	0
755	1.468272	0
760	1.468204	0
765	1.468137	0
770	1.468071	0
775	1.468007	0
780	1.467944	0
785	1.467882	0
790	1.467821	0
795	1.467762	0
800	1.467704	0
