Wavelength	n	k
300	3.287476	0.742136
305	3.289546	0.628815
310	3.2741	0.523272
315	3.244884	0.428313
320	3.205739	0.345284
325	3.160141	0.274371
330	3.11097	0.214964
335	3.060445	0.165992
340	3.01018	0.126179
345	2.961277	0.09422
350	2.914438	0.068882
355	2.870069	0.049057
360	2.828366	0.033781
365	2.789377	0.022234
370	2.753057	0.01373
375	2.719301	0.007697
380	2.687968	0.003668
385	2.658902	0.001257
390	2.631939	0.000149
395	2.606917	0
400	2.583681	0
405	2.562083	0
410	2.541987	0
415	2.523266	0
420	2.505803	0
425	2.489493	0
430	2.474239	0
435	2.459953	0
440	2.446556	0
445	2.433976	0
450	2.422146	0
455	2.411008	0
460	2.400508	0
465	2.390597	0
470	2.38123	0
475	2.372367	0
480	2.363971	0
485	2.356009	0
490	2.348449	0
495	2.341265	0
500	2.33443	0
505	2.327921	0
510	2.321717	0
515	2.315797	0
520	2.310144	0
525	2.304741	0
530	2.299572	0
535	2.294623	0
540	2.289881	0
545	2.285334	0
550	2.280971	0
555	2.276781	0
560	2.272754	0
565	2.268882	0
570	2.265156	0
575	2.261568	0
580	2.258112	0
585	2.254779	0
590	2.251564	0
595	2.248461	0
600	2.245465	0
605	2.242569	0
610	2.23977	0
615	2.237063	0
620	2.234443	0
625	2.231907	0
630	2.22945	0
635	2.227068	0
640	2.22476	0
645	2.222521	0
650	2.220348	0
655	2.218239	0
660	2.216191	0
665	2.214201	0
670	2.212268	0
675	2.210388	0
680	2.208559	0
685	2.20678	0
690	2.205049	0
695	2.203363	0
700	2.201721	0
705	2.200122	0
710	2.198563	0
715	2.197043	0
720	2.195562	0
725	2.194116	0
730	2.192706	0
735	2.19133	0
740	2.189986	0
745	2.188674	0
750	2.187393	0
755	2.186141	0
760	2.184917	0
765	2.183721	0
770	2.182552	0
775	2.181408	0
780	2.180289	0
785	2.179195	0
790	2.178124	0
795	2.177075	0
800	2.176049	0
