Wavelength	n	k
250.00	1.974008	3.479734
255.00	2.100716	3.658822
260.00	2.256004	3.837134
265.00	2.442673	4.009604
270.00	2.662625	4.169827
275.00	2.916282	4.310163
280.00	3.201987	4.422103
285.00	3.515467	4.496937
290.00	3.849568	4.526722
295.00	4.194419	4.505437
300.00	4.538141	4.430071
305.00	4.868051	4.301365
310.00	5.172147	4.123956
315.00	5.440537	3.905835
320.00	5.666441	3.657240
325.00	5.846604	3.389302
330.00	5.981082	3.112744
335.00	6.072601	2.836924
340.00	6.125693	2.569281
345.00	6.145853	2.315196
350.00	6.138842	2.078132
355.00	6.110181	1.859942
360.00	6.064853	1.661234
365.00	6.007156	1.481721
370.00	5.940674	1.320525
375.00	5.868316	1.176413
380.00	5.792383	1.047974
385.00	5.714664	0.933740
390.00	5.636520	0.832265
395.00	5.558966	0.742181
400.00	5.482743	0.662218
405.00	5.408376	0.591220
410.00	5.336223	0.528149
415.00	5.266515	0.472078
420.00	5.199386	0.422185
425.00	5.134899	0.377745
430.00	5.073060	0.338121
435.00	5.013842	0.302753
440.00	4.957185	0.271148
445.00	4.903013	0.242877
450.00	4.851236	0.217561
455.00	4.801759	0.194869
460.00	4.754478	0.174509
465.00	4.709293	0.156227
470.00	4.666102	0.139796
475.00	4.624803	0.125020
480.00	4.585300	0.111722
485.00	4.547500	0.099750
490.00	4.511312	0.088965
495.00	4.476651	0.079247
500.00	4.443435	0.070489
505.00	4.411589	0.062595
510.00	4.381038	0.055481
515.00	4.351714	0.049070
520.00	4.323552	0.043295
525.00	4.296491	0.038096
530.00	4.270474	0.033418
535.00	4.245446	0.029214
540.00	4.221357	0.025439
545.00	4.198160	0.022054
550.00	4.175808	0.019024
555.00	4.154260	0.016318
560.00	4.133476	0.013906
565.00	4.113419	0.011763
570.00	4.094054	0.009865
575.00	4.075347	0.008191
580.00	4.057267	0.006722
585.00	4.039785	0.005439
590.00	4.022874	0.004328
595.00	4.006506	0.003374
600.00	3.990659	0.002564
605.00	3.975307	0.001885
610.00	3.960430	0.001326
615.00	3.946006	0.000878
620.00	3.932017	0.000532
625.00	3.918443	0.000278
630.00	3.905267	0.000110
635.00	3.892472	0.000020
640.00	3.880043	0.000000
645.00	3.867965	0.000000
650.00	3.856223	0.000000
655.00	3.844805	0.000000
660.00	3.833697	0.000000
665.00	3.822887	0.000000
670.00	3.812364	0.000000
675.00	3.802117	0.000000
680.00	3.792135	0.000000
685.00	3.782409	0.000000
690.00	3.772929	0.000000
695.00	3.763686	0.000000
700.00	3.754672	0.000000
705.00	3.745878	0.000000
710.00	3.737297	0.000000
715.00	3.728921	0.000000
720.00	3.720743	0.000000
725.00	3.712756	0.000000
730.00	3.704954	0.000000
735.00	3.697331	0.000000
740.00	3.689880	0.000000
745.00	3.682597	0.000000
750.00	3.675475	0.000000
755.00	3.668509	0.000000
760.00	3.661694	0.000000
765.00	3.655026	0.000000
770.00	3.648501	0.000000
775.00	3.642112	0.000000
780.00	3.635857	0.000000
785.00	3.629731	0.000000
790.00	3.623731	0.000000
795.00	3.617852	0.000000
800.00	3.612091	0.000000
805.00	3.606445	0.000000
810.00	3.600910	0.000000
815.00	3.595483	0.000000
820.00	3.590161	0.000000
825.00	3.584941	0.000000
830.00	3.579820	0.000000
835.00	3.574795	0.000000
840.00	3.569864	0.000000
845.00	3.565025	0.000000
850.00	3.560273	0.000000

