wav	n	k
290	1.5	0
300	1.5	0
310	1.5	0
320	1.5	0
330	1.5	0
340	1.5	0
350	1.5	0
360	1.5	0
370	1.5	0
380	1.5	0
390	1.5	0
400	1.5	0
410	1.5	0
420	1.5	0
430	1.5	0
440	1.5	0
450	1.5	0
460	1.5	0
470	1.5	0
480	1.5	0
490	1.5	0
500	1.5	0
510	1.5	0
520	1.5	0
530	1.5	0
540	1.5	0
550	1.5	0
560	1.5	0
570	1.5	0
580	1.5	0
590	1.5	0
600	1.5	0
610	1.5	0
620	1.5	0
630	1.5	0
640	1.5	0
650	1.5	0
660	1.5	0
670	1.5	0
680	1.5	0
690	1.5	0
700	1.5	0
710	1.5	0
720	1.5	0
730	1.5	0
740	1.5	0
750	1.5	0
760	1.5	0
770	1.5	0
780	1.5	0
790	1.5	0
800	1.5	0
810	1.5	0
820	1.5	0
