wave (nm)	n	k
210.14	1.19	1.32
213.76	1.21	1.33
217.51	1.23	1.34
221.39	1.25	1.34
225.42	1.26	1.34
229.59	1.27	1.35
233.92	1.28	1.36
238.42	1.28	1.37
243.10	1.30	1.38
247.96	1.31	1.39
253.02	1.32	1.39
258.29	1.34	1.39
263.79	1.36	1.38
269.52	1.38	1.37
275.51	1.41	1.34
281.77	1.41	1.29
288.33	1.40	1.22
295.19	1.38	1.11
302.39	1.32	0.91
309.95	1.15	0.64
317.90	0.91	0.41
326.26	0.44	0.59
335.08	0.13	0.94
344.39	0.13	1.19
354.23	0.10	1.42
364.65	0.08	1.61
375.70	0.06	1.78
387.44	0.05	1.94
399.94	0.05	2.10
413.27	0.05	2.28
427.52	0.04	2.43
442.79	0.04	2.58
459.19	0.04	2.74
476.85	0.05	2.92
495.92	0.05	3.09
516.58	0.05	3.28
539.04	0.06	3.50
563.55	0.06	3.71
590.38	0.05	3.93
619.90	0.06	4.18
652.53	0.05	4.43
688.78	0.04	4.71
729.29	0.03	5.03
774.88	0.03	5.38
826.53	0.04	5.77
885.57	0.04	6.26
953.69	0.04	6.77
1033.17	0.04	7.37
1127.09	0.05	8.12
1239.80	0.10	9.00
