wave	n_avg
200	1.90716779
206.5	1.894463859
213.3	1.882911986
220.3	1.872537719
227.5	1.863188441
234.9	1.854736558
242.6	1.846979693
250.5	1.839942521
258.7	1.833467833
267.2	1.827509176
275.9	1.822082439
285	1.817023955
294.3	1.812410155
303.9	1.808150715
313.9	1.804178982
324.1	1.800547233
334.7	1.797158653
345.7	1.793999816
357	1.791081626
368.7	1.78836122
380.7	1.785846044
393.2	1.783482196
406	1.781296185
419.3	1.779242682
433	1.777328842
447.2	1.775532367
461.8	1.773857847
477	1.772275979
492.6	1.770801343
508.7	1.769416909
525.3	1.768116669
542.5	1.766887951
560.2	1.765733099
578.6	1.76463508
597.5	1.76360186
617	1.762623256
637.2	1.761690923
658.1	1.760802039
679.6	1.759957438
701.8	1.759149785
724.8	1.758372881
748.5	1.757627484
773	1.756907771
798.3	1.756211345
824.4	1.755535761
851.3	1.754878564
879.2	1.754232789
907.9	1.753600945
937.7	1.752974387
968.3	1.752357352
1000	1.751741655
1213	1.751889641765
1253	1.7512147150232
1294	1.7505264589423
1336	1.7498225628591
1380	1.7490839326181
1425	1.7483249348844
