WL	n	k
206.64	1.570375	0.002564
211.64	1.565702	0.002461
216.64	1.561421	0.002366
221.64	1.557486	0.002280
226.64	1.553860	0.002199
231.64	1.550511	0.002125
236.64	1.547409	0.002056
241.64	1.544531	0.001991
246.64	1.541855	0.001931
251.64	1.539361	0.001875
256.64	1.537033	0.001822
261.64	1.534857	0.001772
266.64	1.532818	0.001725
271.64	1.530906	0.001681
276.64	1.529110	0.001639
281.64	1.527420	0.001599
286.64	1.525828	0.001561
291.64	1.524326	0.001525
296.64	1.522908	0.001491
301.64	1.521567	0.001459
306.64	1.520298	0.001428
311.64	1.519095	0.001398
316.64	1.517954	0.001370
321.64	1.516871	0.001343
326.64	1.515842	0.001317
331.64	1.514862	0.001292
336.64	1.513930	0.001268
341.64	1.513041	0.001245
346.64	1.512194	0.001223
351.64	1.511385	0.001201
356.64	1.510612	0.001181
361.64	1.509874	0.001161
366.64	1.509168	0.001142
371.64	1.508491	0.001123
376.64	1.507844	0.001106
381.64	1.507223	0.001088
386.64	1.506628	0.001072
391.64	1.506056	0.001056
396.64	1.505508	0.001040
401.64	1.504981	0.001025
406.64	1.504474	0.001010
411.64	1.503986	0.000996
416.64	1.503517	0.000982
421.64	1.503066	0.000968
426.64	1.502631	0.000955
431.64	1.502212	0.000943
436.64	1.501808	0.000930
441.64	1.501418	0.000918
446.64	1.501041	0.000907
451.64	1.500678	0.000895
456.64	1.500327	0.000884
461.64	1.499988	0.000873
466.64	1.499660	0.000863
471.64	1.499343	0.000853
476.64	1.499036	0.000843
481.64	1.498740	0.000833
486.64	1.498452	0.000823
491.64	1.498174	0.000814
496.64	1.497904	0.000805
501.64	1.497643	0.000796
506.64	1.497389	0.000787
511.64	1.497144	0.000779
516.64	1.496905	0.000771
521.64	1.496674	0.000762
526.64	1.496449	0.000754
531.64	1.496231	0.000747
536.64	1.496020	0.000739
541.64	1.495814	0.000732
546.64	1.495614	0.000724
551.64	1.495419	0.000717
556.64	1.495230	0.000710
561.64	1.495046	0.000703
566.64	1.494867	0.000697
571.64	1.494693	0.000690
576.64	1.494524	0.000684
581.64	1.494359	0.000677
586.64	1.494198	0.000671
591.64	1.494042	0.000665
596.64	1.493889	0.000659
601.64	1.493740	0.000653
606.64	1.493596	0.000647
611.64	1.493454	0.000642
616.64	1.493317	0.000636
621.64	1.493182	0.000631
626.64	1.493051	0.000625
631.64	1.492923	0.000620
636.64	1.492798	0.000615
641.64	1.492676	0.000610
646.64	1.492557	0.000605
651.64	1.492441	0.000600
656.64	1.492328	0.000595
661.64	1.492217	0.000590
666.64	1.492108	0.000585
671.64	1.492002	0.000581
676.64	1.491899	0.000576
681.64	1.491798	0.000572
686.64	1.491699	0.000567
691.64	1.491602	0.000563
696.64	1.491507	0.000559
701.64	1.491415	0.000554
706.64	1.491324	0.000550
711.64	1.491235	0.000546
716.64	1.491148	0.000542
721.64	1.491063	0.000538
726.64	1.490980	0.000534
731.64	1.490899	0.000531
736.64	1.490819	0.000527
741.64	1.490741	0.000523
746.64	1.490664	0.000519
751.64	1.490589	0.000516
756.64	1.490516	0.000512
761.64	1.490444	0.000509
766.64	1.490373	0.000505
771.64	1.490304	0.000502
776.64	1.490236	0.000498
781.64	1.490169	0.000495
786.64	1.490104	0.000492
791.64	1.490040	0.000489
796.64	1.489977	0.000485
801.64	1.489916	0.000482
806.64	1.489855	0.000479
811.64	1.489796	0.000476
816.64	1.489737	0.000473
821.64	1.489680	0.000470
826.64	1.489624	0.000467
