wl	n	k
298	2.154766565	0.175204552
300	2.154766565	0.175204552
306	2.154957235	0.170581898
312	2.156191024	0.164719993
318	2.158446236	0.157429362
324	2.16105938	0.148498139
330	2.164305469	0.137522228
336	2.168539505	0.123829132
342	2.173998738	0.10610948
348	2.180379443	0.080004331
354	2.176266606	0.032426158
360	2.130061265	0.013885414
366	2.10474651	0.005007425
372	2.082113954	0.002554136
378	2.064197577	0.001905466
384	2.04915302	0.001596998
390	2.036117858	0.001387943
396	2.024185964	0.001232743
402	2.013310561	0.001115288
408	2.003213153	0.001027278
414	1.993779821	0.000962658
420	1.984926501	0.000916876
426	1.976835674	0.000886365
432	1.96858184	0.000868715
438	1.960902247	0.000861298
444	1.953677351	0.000862816
450	1.946613837	0.000871753
456	1.939918943	0.000887289
462	1.93347666	0.000908425
468	1.927221267	0.000934637
474	1.921090067	0.000965505
480	1.915183468	0.001000512
486	1.909527985	0.001039334
492	1.903913319	0.001081845
498	1.898508811	0.001127765
504	1.893220039	0.001177
510	1.88820381	0.001229338
516	1.883039348	0.001284969
522	1.877988638	0.001343673
528	1.873084693	0.0014054
534	1.868294119	0.001470162
540	1.863617718	0.001537927
546	1.858896932	0.001608839
552	1.854368871	0.001682742
558	1.849867891	0.00175978
564	1.845490042	0.001839906
570	1.841160924	0.001923239
576	1.83669248	0.002010022
582	1.832415999	0.002099967
588	1.828162452	0.002193307
594	1.823926125	0.002290121
600	1.819840012	0.002390308
606	1.815704688	0.00249418
612	1.81154106	0.002601809
618	1.807520223	0.00271302
624	1.803507677	0.002828081
630	1.799485665	0.002947107
636	1.795715505	0.003069752
642	1.791746214	0.003196848
648	1.78753864	0.003328611
654	1.783506527	0.003464391
660	1.779506638	0.003604541
666	1.775549533	0.003749128
672	1.77156178	0.003898412
678	1.767704461	0.004052136
684	1.763781607	0.004210838
690	1.759826618	0.004374564
696	1.75587341	0.00454335
702	1.751996573	0.004717109
708	1.748090565	0.004896229
714	1.74418613	0.005080747
720	1.74028476	0.005270783
726	1.736478245	0.005466168
732	1.732595282	0.005667553
738	1.728631525	0.005875109
744	1.724596259	0.006088962
750	1.720704361	0.006308487
756	1.716763096	0.006534491
762	1.712823108	0.006766936
768	1.708855734	0.007006073
774	1.704878094	0.007251984
780	1.700987407	0.007504392
786	1.697012484	0.007764179
792	1.693020978	0.008031217
798	1.68897776	0.008305846
804	1.684911836	0.008588087
810	1.68093371	0.008877537
816	1.676887512	0.00917515
822	1.67283807	0.009480763
828	1.668779622	0.009794575
834	1.664654244	0.010117118
840	1.660624813	0.010447568
846	1.65659204	0.010786689
852	1.652492232	0.011135093
858	1.648286227	0.011493274
864	1.644021609	0.011861145
870	1.639697146	0.012238953
876	1.63547078	0.012625712
882	1.631232517	0.013022415
888	1.626933473	0.013429674
894	1.622635117	0.013847213
900	1.618321413	0.014275375
