wl	n	k
301.41754	2.61555	0
303.01373	2.61006	0
304.61	2.60483	0
306.20624	2.59983	0
307.80255	2.59505	0
309.39886	2.59048	0
310.99524	2.58612	0
312.5916	2.58195	0
314.18805	2.57796	0
315.7845	2.57415	0
317.38095	2.5705	0
318.97748	2.56701	0
320.57397	2.56368	0
322.17053	2.56049	0
323.76712	2.55743	0
325.3637	2.55452	0
326.96036	2.55173	0
328.557	2.54906	0
330.1537	2.54651	0
331.7504	2.54407	0
333.3471	2.54174	0
334.94388	2.53952	0
336.54065	2.5374	0
338.13745	2.53537	0
339.73428	2.53344	0
341.33112	2.5316	0
342.92798	2.52984	0
344.52487	2.52817	0
346.12177	2.52658	0
347.71872	2.52507	0
349.31567	2.52364	0
350.91266	2.52228	0
352.5096	2.52099	0
354.10663	2.51978	0
355.70367	2.51863	0
357.30072	2.51754	0
358.89777	2.51653	0
360.49484	2.51557	0
362.09198	2.51467	0
363.68906	2.51384	0
365.2862	2.51306	0
366.88336	2.51234	0
368.48053	2.51167	0
370.0777	2.51106	0
371.6749	2.5105	0
373.27213	2.50999	0
374.86932	2.50954	0
376.46658	2.50913	0
378.06384	2.50878	0
379.6611	2.50847	0
381.25836	2.50821	0
382.85568	2.508	0
384.45297	2.50784	0
386.0503	2.50772	0
387.64764	2.50765	0
389.24496	2.50762	0
390.84235	2.50764	0
392.4397	2.5077	0
394.03705	2.50781	0
395.63446	2.50796	0
397.23184	2.50815	0
398.82922	2.50839	0
400.42664	2.50868	0
402.02405	2.509	0
403.6215	2.50938	0
405.21893	2.50979	0
406.81635	2.51025	0
408.4138	2.51076	0
410.01123	2.51131	0
411.6087	2.51191	0
413.2062	2.51255	0
414.80365	2.51324	0
416.40112	2.51398	0
417.9986	2.51476	0
419.5961	2.5156	0
421.19354	2.51648	0
422.79108	2.51742	0
424.38858	2.51841	0
425.98602	2.51945	0
427.58356	2.52055	0
429.18106	2.52171	0
430.77856	2.52292	0
432.37607	2.5242	0
433.97357	2.52553	0
435.57104	2.52694	0
437.16855	2.52841	0
438.76605	2.52995	0
440.3636	2.53157	0
441.9611	2.53326	0
443.5586	2.53504	0
445.1561	2.53691	0
446.75357	2.53887	0
448.35107	2.54092	0
449.94858	2.54309	0
451.54605	2.54536	0
