WL	n	k
206.64	1.911310	0.760784
211.64	1.937714	0.762897
216.64	1.965402	0.763241
221.64	1.994189	0.761668
226.64	2.023861	0.758130
231.64	2.054239	0.752727
236.64	2.085299	0.745749
241.64	2.117399	0.737661
246.64	2.151636	0.728883
251.64	2.190225	0.719100
256.64	2.236286	0.705709
261.64	2.291423	0.681978
266.64	2.350387	0.638644
271.64	2.399442	0.572726
276.64	2.426586	0.493713
281.64	2.431141	0.415214
286.64	2.419732	0.345019
291.64	2.398978	0.284835
296.64	2.373107	0.233758
301.64	2.344463	0.190408
306.64	2.314357	0.153602
311.64	2.283601	0.122427
316.64	2.252755	0.096165
321.64	2.222240	0.074221
326.64	2.192379	0.056077
331.64	2.163417	0.041269
336.64	2.135534	0.029376
341.64	2.108854	0.020015
346.64	2.083451	0.012838
351.64	2.059365	0.007535
356.64	2.036599	0.003830
361.64	2.015137	0.001480
366.64	1.994944	0.000270
371.64	1.975972	0.000000
376.64	1.958167	0.000000
381.64	1.941467	0.000000
386.64	1.925810	0.000000
391.64	1.911133	0.000000
396.64	1.897373	0.000000
401.64	1.884470	0.000000
406.64	1.872366	0.000000
411.64	1.861005	0.000000
416.64	1.850335	0.000000
421.64	1.840309	0.000000
426.64	1.830879	0.000000
431.64	1.822004	0.000000
436.64	1.813644	0.000000
441.64	1.805764	0.000000
446.64	1.798328	0.000000
451.64	1.791306	0.000000
456.64	1.784670	0.000000
461.64	1.778392	0.000000
466.64	1.772448	0.000000
471.64	1.766815	0.000000
476.64	1.761473	0.000000
481.64	1.756402	0.000000
486.64	1.751585	0.000000
491.64	1.747005	0.000000
496.64	1.742646	0.000000
501.64	1.738496	0.000000
506.64	1.734540	0.000000
511.64	1.730767	0.000000
516.64	1.727166	0.000000
521.64	1.723726	0.000000
526.64	1.720438	0.000000
531.64	1.717293	0.000000
536.64	1.714282	0.000000
541.64	1.711398	0.000000
546.64	1.708634	0.000000
551.64	1.705983	0.000000
556.64	1.703439	0.000000
561.64	1.700996	0.000000
566.64	1.698648	0.000000
571.64	1.696391	0.000000
576.64	1.694220	0.000000
581.64	1.692130	0.000000
586.64	1.690118	0.000000
591.64	1.688179	0.000000
596.64	1.686310	0.000000
601.64	1.684507	0.000000
606.64	1.682767	0.000000
611.64	1.681087	0.000000
616.64	1.679464	0.000000
621.64	1.677896	0.000000
626.64	1.676380	0.000000
631.64	1.674913	0.000000
636.64	1.673494	0.000000
641.64	1.672121	0.000000
646.64	1.670790	0.000000
651.64	1.669501	0.000000
656.64	1.668252	0.000000
661.64	1.667041	0.000000
666.64	1.665866	0.000000
671.64	1.664726	0.000000
676.64	1.663619	0.000000
681.64	1.662544	0.000000
686.64	1.661500	0.000000
691.64	1.660486	0.000000
696.64	1.659500	0.000000
701.64	1.658541	0.000000
706.64	1.657608	0.000000
711.64	1.656701	0.000000
716.64	1.655818	0.000000
721.64	1.654958	0.000000
726.64	1.654121	0.000000
731.64	1.653305	0.000000
736.64	1.652510	0.000000
741.64	1.651736	0.000000
746.64	1.650980	0.000000
751.64	1.650244	0.000000
756.64	1.649525	0.000000
761.64	1.648824	0.000000
766.64	1.648140	0.000000
771.64	1.647473	0.000000
776.64	1.646820	0.000000
781.64	1.646184	0.000000
786.64	1.645561	0.000000
791.64	1.644954	0.000000
796.64	1.644359	0.000000
801.64	1.643778	0.000000
806.64	1.643211	0.000000
811.64	1.642655	0.000000
816.64	1.642112	0.000000
821.64	1.641580	0.000000
826.64	1.641060	0.000000
