Wavelength(nm)	n	k
206.63	1.336	2.113
210.14	1.301	2.183
213.76	1.299	2.28
217.51	1.325	2.383
221.39	1.375	2.484
225.42	1.426	2.562
229.59	1.455	2.652
233.92	1.482	2.802
238.42	1.558	3.016
243.1	1.745	3.291
247.96	2.131	3.495
253.02	2.546	3.514
258.29	2.984	3.517
263.79	3.56	3.223
269.52	3.8	2.637
275.51	3.697	2.186
281.77	3.527	1.948
288.33	3.384	1.826
295.19	3.275	1.762
302.39	3.196	1.735
309.95	3.141	1.73
317.9	3.108	1.744
326.26	3.095	1.773
335.08	3.103	1.816
344.39	3.133	1.872
354.23	3.193	1.948
364.65	3.299	2.06
375.7	3.576	2.209
387.44	3.976	2.143
399.94	4.415	1.735
413.27	4.395	1.247
427.52	4.256	0.964
442.79	4.121	0.786
459.19	4.004	0.667
476.85	3.903	0.579
495.92	3.818	0.511
516.58	3.745	0.457
539.04	3.682	0.416
563.55	3.629	0.38
590.38	3.585	0.347
619.9	3.549	0.317
652.53	3.517	0.293
688.78	3.492	0.27
729.29	3.476	0.242
774.87	3.467	0.218
826.53	3.456	0.203
885.57	3.4186	0.109
953.69	3.362	0.0003
1033.17	3.297	0
1127.09	3.254	0
1239.8	3.22	0
1377.56	3.191	0
1549.75	3.167	0
1771.14	3.146	0
2066.33	3.129	0
