wl	n	k
250.00	1.67	3.67
260.00	1.76	4.08
270.00	2.07	4.68
280.00	2.96	5.29
290.00	4.36	5.29
300.00	4.98	4.23
310.00	5.12	3.60
320.00	5.11	3.30
330.00	5.20	3.10
340.00	5.30	2.98
350.00	5.49	2.94
360.00	6.03	2.97
370.00	6.89	2.17
380.00	6.62	0.95
390.00	6.04	0.45
400.00	5.61	0.30
410.00	5.33	0.23
420.00	5.12	0.18
430.00	4.95	0.14
440.00	4.81	0.11
450.00	4.69	0.09
460.00	4.59	0.07
470.00	4.50	0.06
480.00	4.42	0.06
490.00	4.35	0.05
500.00	4.29	0.04
510.00	4.24	0.04
520.00	4.19	0.04
530.00	4.15	0.03
540.00	4.11	0.03
550.00	4.08	0.03
560.00	4.05	0.03
570.00	4.02	0.02
580.00	3.99	0.02
590.00	3.96	0.02
600.00	3.94	0.02
610.00	3.92	0.02
620.00	3.90	0.02
630.00	3.88	0.02
640.00	3.86	0.02
650.00	3.84	0.01
660.00	3.83	0.01
670.00	3.81	0.01
680.00	3.80	0.01
690.00	3.78	0.01
700.00	3.77	0.01
710.00	3.76	0.01
720.00	3.75	0.01
730.00	3.74	0.01
740.00	3.73	0.01
750.00	3.72	0.01
760.00	3.71	0.01
770.00	3.70	0.01
780.00	3.69	0.01
790.00	3.68	0.01
800.00	3.68	0.01
810.00	3.67	0.00
820.00	3.66	0.00
830.00	3.65	0.00
840.00	3.65	0.00
850.00	3.64	0.00
860.00	3.64	0.00
870.00	3.63	0.00
880.00	3.62	0.00
890.00	3.62	0.00
900.00	3.61	0.00
910.00	3.61	0.00
920.00	3.60	0.00
930.00	3.60	0.00
940.00	3.60	0.00
950.00	3.59	0.00
960.00	3.59	0.00
970.00	3.58	0.00
980.00	3.58	0.00
990.00	3.58	0.00
1000.00	3.57	0.00
1010.00	3.57	0.00
1020.00	3.57	0.00
1030.00	3.56	0.00
1040.00	3.56	0.00
1050.00	3.56	0.00
1060.00	3.55	0.00
1070.00	3.55	0.00
1080.00	3.55	0.00
1090.00	3.55	0.00
1100.00	3.54	0.00
1110.00	3.54	0.00
1120.00	3.54	0.00
1130.00	3.54	0.00
1140.00	3.53	0.00
1150.00	3.53	0.00
1160.00	3.53	0.00
1170.00	3.53	0.00
1180.00	3.52	0.00
1190.00	3.52	0.00
1200.00	3.52	0.00
1210.00	3.52	0.00
1220.00	3.52	0.00
1230.00	3.52	0.00
1240.00	3.51	0.00
1250.00	3.51	0.00
1260.00	3.51	0.00
1270.00	3.51	0.00
1280.00	3.51	0.00
1290.00	3.51	0.00
1300.00	3.50	0.00
1310.00	3.50	0.00
1320.00	3.50	0.00
1330.00	3.50	0.00
1340.00	3.50	0.00
1350.00	3.50	0.00
1360.00	3.50	0.00
1370.00	3.49	0.00
1380.00	3.49	0.00
1390.00	3.49	0.00
1400.00	3.49	0.00
1410.00	3.49	0.00
1420.00	3.49	0.00
1430.00	3.49	0.00
1440.00	3.49	0.00
1450.00	3.49	0.00
