wave nm	n	k
120.181141	1.126620101	0.898838687
120.874955	1.124382098	0.907024637
121.572773	1.12223231	0.915711275
122.274621	1.12020412	0.924913811
122.98052	1.118333711	0.934645892
123.690494	1.116660119	0.944919268
124.404567	1.115225264	0.955743457
125.122762	1.11407395	0.967125376
125.845104	1.113253851	0.979068951
126.571616	1.112815469	0.991574714
127.302322	1.112812071	1.004639372
128.037246	1.113299623	1.018255362
128.776413	1.114336713	1.032410365
129.519847	1.115984496	1.047086792
130.267574	1.118306683	1.062261195
131.019616	1.121369619	1.077903585
131.776001	1.125242533	1.093976561
132.536752	1.1299981	1.110434118
133.301895	1.135713645	1.127219813
134.071455	1.142473732	1.144263515
134.845458	1.150376535	1.161474314
135.62393	1.159556385	1.178716888
136.406895	1.170116495	1.195592451
137.194381	1.181674389	1.211889595
137.986413	1.194107411	1.227671224
138.783017	1.207366224	1.242935287
139.58422	1.22141515	1.257658519
140.390048	1.236221757	1.271806367
141.200529	1.251752262	1.285337463
142.015689	1.267968941	1.298206521
142.835554	1.284828569	1.3103667
143.660153	1.302281572	1.321771775
144.489512	1.320271805	1.332378183
145.323659	1.338736902	1.34214694
146.162622	1.357609159	1.351045284
147.006428	1.376816859	1.35904795
147.855105	1.396285902	1.366137953
148.708682	1.415941559	1.3723068
149.567186	1.435710144	1.377554162
150.430647	1.455520405	1.381887052
151.299093	1.47530451	1.385318696
152.172552	1.494998531	1.387867264
153.051054	1.514542465	1.38955467
153.934627	1.533879875	1.390405613
154.823301	1.552957289	1.390446954
155.717106	1.571723534	1.389707483
156.616071	1.590129161	1.388218022
157.520225	1.608126059	1.3860118
158.429599	1.625667359	1.383124974
159.344223	1.642707611	1.379597185
160.264128	1.659203251	1.375472024
161.189343	1.675113262	1.370797345
162.119899	1.690399977	1.36562535
163.055827	1.705029935	1.360012438
163.997159	1.718974715	1.354018803
164.943925	1.73221167	1.347707834
165.896156	1.744724523	1.341145326
166.853885	1.756503781	1.334398582
167.817143	1.767546953	1.327535433
168.785962	1.777858566	1.320623256
169.760374	1.787449996	1.313728005
170.740412	1.796339124	1.306913326
171.726107	1.804549863	1.300239762
172.717492	1.812111561	1.293764081
173.714601	1.819058337	1.28753874
174.717467	1.825428364	1.281611478
175.726122	1.831263145	1.276025046
176.740599	1.836606782	1.270817062
177.760934	1.841505289	1.266019975
178.787159	1.846005935	1.261661131
179.819309	1.850156654	1.25776291
180.857417	1.854005509	1.254342942
181.901518	1.857600231	1.25141436
182.951647	1.860987815	1.248986096
184.007838	1.86421419	1.247063192
185.070127	1.867323948	1.245647132
186.138549	1.870360127	1.244736163
187.213138	1.87336405	1.244325623
188.293932	1.876375204	1.244408249
189.380964	1.879431167	1.244974475
190.474273	1.882567557	1.24601271
191.573893	1.88581802	1.247509594
192.679861	1.889214233	1.249450237
193.792214	1.892785928	1.251818436
194.910988	1.896560933	1.254596868
196.036222	1.900565216	1.257767267
197.167951	1.904822948	1.261310586
198.306214	1.909356558	1.265207133
199.451049	1.914186802	1.269436699
200.602492	1.919332825	1.273978672
201.760583	1.92481223	1.278812136
202.925359	1.930641143	1.283915961
204.09686	1.936834271	1.289268884
205.275124	1.943404972	1.294849587
206.460191	1.950365309	1.300636761
207.652098	1.95772611	1.306609173
208.850887	1.965497026	1.31274573
210.056596	1.973686583	1.319025535
211.269266	1.982302247	1.325427946
212.488937	1.991350471	1.331932637
213.715649	2.000836765	1.338519654
214.949443	2.010765753	1.345169476
216.19036	2.021141244	1.351863077
217.43844	2.031966309	1.358581986
218.693726	2.043243366	1.365308347
219.956259	2.054974273	1.372024983
221.22608	2.067160439	1.378715457
222.503232	2.079802943	1.385364122
223.787757	2.092902681	1.391956176
225.079698	2.106460517	1.398477705
226.379097	2.120477468	1.404915705
227.685998	2.134954902	1.411258104
229.000444	2.149894766	1.417493744
230.322478	2.165299831	1.42361235
231.652144	2.181173966	1.429604458
232.989486	2.197522434	1.435461299
234.334549	2.214352199	1.441174638
