Wavelength	n	k
250.00	1.583764	0.001295
255.00	1.580065	0.001138
260.00	1.576641	0.001002
265.00	1.573461	0.000883
270.00	1.570502	0.000779
275.00	1.567740	0.000688
280.00	1.565156	0.000608
285.00	1.562735	0.000538
290.00	1.560460	0.000475
295.00	1.558319	0.000420
300.00	1.556301	0.000371
305.00	1.554395	0.000328
310.00	1.552593	0.000290
315.00	1.550886	0.000255
320.00	1.549266	0.000225
325.00	1.547727	0.000198
330.00	1.546264	0.000173
335.00	1.544870	0.000152
340.00	1.543542	0.000132
345.00	1.542273	0.000115
350.00	1.541062	0.000100
355.00	1.539903	0.000086
360.00	1.538793	0.000074
365.00	1.537730	0.000064
370.00	1.536710	0.000054
375.00	1.535732	0.000046
380.00	1.534791	0.000038
385.00	1.533887	0.000032
390.00	1.533017	0.000026
395.00	1.532179	0.000021
400.00	1.531372	0.000017
405.00	1.530594	0.000013
410.00	1.529843	0.000010
415.00	1.529118	0.000007
420.00	1.528418	0.000005
425.00	1.527741	0.000004
430.00	1.527086	0.000002
435.00	1.526452	0.000001
440.00	1.525839	0.000001
445.00	1.525244	0.000000
450.00	1.524668	0.000000
455.00	1.524110	0.000000
460.00	1.523568	0.000000
465.00	1.523042	0.000000
470.00	1.522532	0.000000
475.00	1.522036	0.000000
480.00	1.521554	0.000000
485.00	1.521085	0.000000
490.00	1.520630	0.000000
495.00	1.520186	0.000000
500.00	1.519755	0.000000
505.00	1.519334	0.000000
510.00	1.518925	0.000000
515.00	1.518527	0.000000
520.00	1.518138	0.000000
525.00	1.517759	0.000000
530.00	1.517390	0.000000
535.00	1.517029	0.000000
540.00	1.516677	0.000000
545.00	1.516334	0.000000
550.00	1.515998	0.000000
555.00	1.515671	0.000000
560.00	1.515351	0.000000
565.00	1.515038	0.000000
570.00	1.514733	0.000000
575.00	1.514434	0.000000
580.00	1.514141	0.000000
585.00	1.513856	0.000000
590.00	1.513576	0.000000
595.00	1.513302	0.000000
600.00	1.513034	0.000000
605.00	1.512772	0.000000
610.00	1.512515	0.000000
615.00	1.512263	0.000000
620.00	1.512016	0.000000
625.00	1.511774	0.000000
630.00	1.511537	0.000000
635.00	1.511305	0.000000
640.00	1.511077	0.000000
645.00	1.510854	0.000000
650.00	1.510635	0.000000
655.00	1.510420	0.000000
660.00	1.510209	0.000000
665.00	1.510002	0.000000
670.00	1.509798	0.000000
675.00	1.509599	0.000000
680.00	1.509403	0.000000
685.00	1.509211	0.000000
690.00	1.509021	0.000000
695.00	1.508836	0.000000
700.00	1.508653	0.000000
705.00	1.508474	0.000000
710.00	1.508298	0.000000
715.00	1.508124	0.000000
720.00	1.507954	0.000000
725.00	1.507786	0.000000
730.00	1.507622	0.000000
735.00	1.507460	0.000000
740.00	1.507300	0.000000
745.00	1.507143	0.000000
750.00	1.506989	0.000000
755.00	1.506837	0.000000
760.00	1.506688	0.000000
765.00	1.506541	0.000000
770.00	1.506396	0.000000
775.00	1.506253	0.000000
780.00	1.506113	0.000000
785.00	1.505974	0.000000
790.00	1.505838	0.000000
795.00	1.505704	0.000000
800.00	1.505572	0.000000
805.00	1.505441	0.000000
810.00	1.505313	0.000000
815.00	1.505186	0.000000
820.00	1.505062	0.000000
825.00	1.504939	0.000000
830.00	1.504818	0.000000
835.00	1.504698	0.000000
840.00	1.504580	0.000000
845.00	1.504464	0.000000
850.00	1.504350	0.000000
