TiO2		
Wavelength(nm)	n	k
200	1.74998	0.9147408
201	1.7477	0.9273312
202	1.74576	0.9401613
203	1.74419	0.953225
204	1.74297	0.966515
205	1.74213	0.9800244
206	1.74167	0.9937454
207	1.7416	1.007671
208	1.74193	1.021792
209	1.74266	1.036101
210	1.7438	1.050588
211	1.74536	1.065247
212	1.74735	1.080066
213	1.74977	1.095037
214	1.75264	1.11015
215	1.75595	1.125395
216	1.75972	1.140763
217	1.76394	1.156242
218	1.76864	1.171822
219	1.77382	1.187492
220	1.77947	1.203241
221	1.78561	1.219058
222	1.79225	1.234931
223	1.79939	1.250848
224	1.80704	1.266796
225	1.81519	1.282764
226	1.82387	1.298739
227	1.83306	1.314708
228	1.84279	1.330657
229	1.85305	1.346572
230	1.86385	1.36244
231	1.8752	1.378247
232	1.88709	1.393977
233	1.89954	1.409615
234	1.91254	1.425146
235	1.92611	1.440554
236	1.94024	1.455823
237	1.95495	1.470936
238	1.97022	1.485875
239	1.98608	1.500623
240	2.00251	1.515161
241	2.01953	1.529472
242	2.03713	1.543534
243	2.05532	1.557329
244	2.07409	1.570836
245	2.09346	1.584034
246	2.11341	1.596901
247	2.13396	1.609414
248	2.15509	1.621552
249	2.17681	1.63329
250	2.19912	1.644604
251	2.22201	1.655468
252	2.24549	1.665857
253	2.26953	1.675743
254	2.29415	1.685101
255	2.31934	1.6939
256	2.34508	1.702113
257	2.37137	1.709708
258	2.3982	1.716656
259	2.42556	1.722925
260	2.45343	1.728482
261	2.4818	1.733293
262	2.51065	1.737326
263	2.53996	1.740545
264	2.56971	1.742916
265	2.59988	1.744402
266	2.63044	1.744968
267	2.66136	1.744579
268	2.6926	1.743199
269	2.72414	1.740792
270	2.75592	1.737325
271	2.7879	1.732765
272	2.82005	1.727079
273	2.85229	1.720239
274	2.88459	1.712217
275	2.91688	1.702989
276	2.9491	1.692535
277	2.98117	1.680838
278	3.01304	1.667886
279	3.04463	1.653672
280	3.07587	1.638194
281	3.10667	1.621457
282	3.13696	1.603471
283	3.16667	1.584254
284	3.19571	1.56383
285	3.224	1.54223
286	3.25148	1.519492
287	3.27806	1.49566
288	3.30369	1.470787
289	3.32828	1.444931
290	3.35178	1.418154
291	3.37414	1.390528
292	3.3953	1.362124
293	3.41523	1.333023
294	3.43388	1.303304
295	3.45123	1.273051
296	3.46726	1.24235
297	3.48196	1.211285
298	3.49531	1.179944
299	3.50732	1.148409
300	3.518	1.116766
301	3.52736	1.085093
302	3.53543	1.05347
303	3.54223	1.021967
304	3.54779	0.9906573
305	3.55215	0.9596044
306	3.55536	0.9288694
307	3.55744	0.898508
308	3.55846	0.8685706
309	3.55846	0.839103
310	3.55749	0.8101465
311	3.55559	0.7817348
312	3.55284	0.7538994
313	3.54926	0.7266667
314	3.54492	0.7000582
315	3.53987	0.6740914
316	3.53416	0.64878
317	3.52783	0.6241347
318	3.52094	0.6001607
319	3.51352	0.5768624
320	3.50563	0.5542406
321	3.4973	0.5322939
322	3.48858	0.5110182
323	3.4795	0.4904077
324	3.4701	0.470455
325	3.46042	0.4511516
326	3.45048	0.432486
327	3.44032	0.4144475
328	3.42996	0.3970236
329	3.41944	0.3802014
330	3.40877	0.3639671
331	3.39799	0.3483066
332	3.3871	0.3332054
333	3.37614	0.3186492
334	3.36512	0.3046224
335	3.35406	0.2911102
336	3.34297	0.278098
337	3.33187	0.2655707
338	3.32077	0.2535137
339	3.30969	0.2419124
340	3.29863	0.2307524
341	3.2876	0.22002
342	3.27662	0.2097009
343	3.2657	0.1997816
344	3.25483	0.1902492
345	3.24403	0.1810906
346	3.23331	0.1722934
347	3.22267	0.1638454
348	3.21211	0.1557348
349	3.20165	0.1479503
350	3.19128	0.1404804
351	3.181	0.1333145
352	3.17083	0.1264422
353	3.16076	0.1198535
354	3.1508	0.1135386
355	3.14094	0.1074881
356	3.1312	0.1016932
357	3.12157	0.09614471
358	3.11205	0.09083442
359	3.10265	0.08575418
360	3.09337	0.08089618
361	3.0842	0.07625284
362	3.07515	0.07181691
363	3.06621	0.06758138
364	3.05739	0.06353962
365	3.0487	0.05968491
366	3.04012	0.0560111
367	3.03166	0.05251219
368	3.02331	0.04918237
369	3.01509	0.04601609
370	3.00698	0.04300796
371	2.99899	0.04015283
372	2.99112	0.03744579
373	2.98336	0.0348819
374	2.97573	0.03245664
375	2.9682	0.03016556
376	2.9608	0.0280044
377	2.95351	0.02596905
378	2.94633	0.02405554
379	2.93927	0.02226005
380	2.93232	0.02057897
381	2.92549	0.01900865
382	2.91877	0.01754573
383	2.91216	0.01618692
384	2.90567	0.01492905
385	2.89929	0.01376907
