Wavelength (nm)	%R-0бу	%R-30бу	%R-60бу
350	1.734420533	2.289336781	8.054599253
352	2.26665843	2.249536685	7.911644425
354	2.415593437	2.274625401	7.689819152
356	1.870342093	2.915982254	7.589052884
358	2.713256836	2.90380186	9.622502395
360	2.610698899	3.219477724	8.296385342
362	3.017760811	3.142860223	8.467990724
364	3.077724574	3.606280926	8.548341834
366	2.855845563	3.437472254	8.522447824
368	3.566964639	3.705547391	8.231761225
370	4.010391053	4.104335777	7.754778738
372	3.707471672	4.033671757	7.933461976
374	4.15783084	4.098501952	8.404054625
376	4.293160839	4.171717577	8.084160472
378	4.383600957	4.481150521	8.82896454
380	4.5817884	4.477145114	8.421575331
382	4.749044994	4.456570204	7.874884587
384	4.685086295	4.609519596	7.833940085
386	4.998831007	4.435319231	8.102720681
388	5.029218172	4.672117294	7.568286722
390	5.096894783	4.605271708	7.57759066
392	5.325070981	4.536742017	7.688177306
394	5.330411094	4.655407681	7.813506372
396	5.461049085	4.681788088	7.440591242
398	5.361758517	4.428027746	7.39858342
400	5.464424453	4.407233156	7.352477628
402	5.521908886	4.445627114	7.380566873
404	5.321113921	4.362535349	7.793186196
406	5.367005454	4.183926984	7.2497722
408	5.258757314	4.141011643	7.012123279
410	5.264367509	4.038532239	7.140515468
412	5.236741624	3.897179663	7.125871295
414	5.158569629	3.7749604	7.070111682
416	5.095257562	3.633463783	7.11358842
418	5.005087847	3.509971898	7.06941707
420	4.830602678	3.360736988	7.189229013
422	4.751947232	3.355168289	7.062805072
424	4.61805926	3.206124411	7.140750015
426	4.503564865	3.010689555	7.092159566
428	4.446569885	2.917211883	6.900180027
430	4.391969674	2.79934863	7.085944973
432	4.145617542	2.679940302	7.217550802
434	4.046746905	2.570990731	7.07419143
436	3.878508923	2.440085272	7.08143921
438	3.798404515	2.346905911	7.093015046
440	3.673387997	2.234818007	7.138097825
442	3.487529351	2.07473202	7.04165814
444	3.369884356	2.038062606	7.125584655
446	3.290957861	1.918542788	7.182392387
448	3.104316312	1.814899321	7.122003842
450	2.968993261	1.753444812	7.145200269
452	2.874303726	1.652253648	7.090670938
454	2.739153272	1.529777498	7.048525046
456	2.593498307	1.471529513	7.084355201
458	2.490103479	1.38033635	6.996322398
460	2.34627915	1.331799325	7.153269794
462	2.235752213	1.265430692	7.10973368
464	2.117338394	1.206452094	7.080980196
466	2.038705339	1.141405208	7.185889263
468	1.893392939	1.078833691	7.051156196
470	1.797539491	1.025614234	7.155262206
472	1.699850668	0.978817333	7.029835445
474	1.589596143	0.927539776	7.128994539
476	1.511909113	0.884386277	7.10350112
478	1.429362303	0.854039055	7.113232739
480	1.377932459	0.81294817	7.0598392
482	1.287895272	0.769740808	7.093844639
484	1.210956946	0.759045276	6.971935481
486	1.149572844	0.708071491	7.028686903
488	1.081603584	0.671477547	6.963659632
490	1.023159313	0.656478877	6.967026236
492	0.949462479	0.632280819	6.93783521
494	0.89771565	0.60328203	6.91831912
496	0.860615073	0.600631779	6.968491585
498	0.792881998	0.564868047	6.941208367
500	0.755129253	0.559775759	6.929989364
502	0.730754788	0.53412456	6.916185531
504	0.672962034	0.527676472	6.916191362
506	0.636891057	0.519372933	6.842041563
508	0.605182001	0.493296671	6.887295039
510	0.57161751	0.479803508	6.917715512
512	0.55612658	0.478177712	6.998227303
514	0.511391562	0.464311192	6.916604228
516	0.483593319	0.455316762	6.984415761
518	0.47101195	0.439627332	6.946425787
520	0.428132095	0.419732932	6.979596209
522	0.405488962	0.427409347	6.963244456
524	0.413252526	0.435569192	7.015556782
526	0.380984474	0.429107326	7.077806013
528	0.372711887	0.440481117	7.134340652
530	0.355346631	0.418870718	7.072264873
532	0.342479769	0.424704566	7.206629787
534	0.336318439	0.416993505	7.279342215
536	0.330479217	0.407818255	7.277510308
538	0.322878979	0.420938166	7.340612472
540	0.3051773	0.414421193	7.424216058
542	0.312709221	0.409211861	7.4757502
544	0.298329291	0.436079952	7.520312991
546	0.292863526	0.443371195	7.661058702
548	0.307055642	0.446664264	7.710402125
550	0.279066166	0.457808503	7.803674086
552	0.28448465	0.469503668	7.904274922
554	0.261601115	0.478000617	8.014478841
556	0.296864965	0.479942158	8.118329479
558	0.272676944	0.503661331	8.257974791
560	0.279504238	0.52146891	8.301014314
562	0.278157053	0.515680608	8.392135591
564	0.309702294	0.534810052	8.575185402
566	0.285189431	0.559640276	8.612000173
568	0.30834959	0.594587286	8.796740844
570	0.308661412	0.628738365	8.887831293
572	0.30964809	0.634872999	8.972381834
574	0.327634481	0.666484753	9.157488079
576	0.346759588	0.701051108	9.272354581
578	0.335470131	0.721571094	9.45098684
580	0.343604011	0.753845765	9.565576464
582	0.360540556	0.781415528	9.731693079
584	0.381403587	0.826347449	9.862124478
586	0.386478519	0.857366151	10.04488876
588	0.401957864	0.893490178	10.14997693
590	0.416898032	0.930902449	10.34082888
592	0.458328487	0.964229027	10.52830437
594	0.458986635	1.016215788	10.64590952
596	0.483892785	1.067921219	10.81024725
598	0.51933967	1.116260927	10.9756299
600	0.536182895	1.147586285	11.15312015
602	0.560387363	1.217061991	11.32182787
604	0.578231108	1.275910543	11.51947584
606	0.628810192	1.341578903	11.66569994
608	0.646840079	1.389316991	11.82107109
610	0.671029036	1.431480546	11.97065064
612	0.704020575	1.520760851	12.14369632
614	0.738900943	1.567748333	12.31798342
616	0.781298934	1.632109823	12.46220036
618	0.802636144	1.694439359	12.65176568
620	0.842618101	1.760603704	12.8307357
622	0.877291258	1.830929291	12.95412279
